instrument,datetime,asset_turnover,profit_growth,equity_turnover,eps,gross_margin,roe_weighted,ar_turn_days,inventory_turn_days,revenue_growth,roa_alt,roa,roe,ar_turnover,net_margin,fixed_asset_turnover,current_asset_turnover,ocf_to_np,asset_turn_days,inventory_turnover,current_asset_turn_days
BJ920077,2021-03-31,,871.449574627461,0.5307,0.225,45.0843722843,15.66,0.4686,136.1779,-53.575274253915,3.931,3.931,14.53,192.0642,29.5143,,0.5317,1.2162,675.57152967517,0.6609,169.2684
BJ920077,2021-06-30,,223.0484,1.0046,0.3743,43.93333145,24.7733,0.5496,150.2003,-38.3772,5.7996,5.7996,22.04,327.5134,24.6565,,0.9015,1.1341,721.742025184936,1.1984,199.6672
BJ920077,2021-09-30,,108.611216989585,1.3067,0.5677,41.055747817,36.54,0.4274,138.8675,-18.228973074018,8.8581,8.8581,24.92,631.7634,24.75,,1.4309,0.631,690.656053364515,1.9443,188.6924
BJ920077,2021-12-31,0.6051,118.3928,1.9459,0.988,40.6967184089,52.93,0.419,105.8263,9.7115,27.4208,13.5819,36.85,859.0936,26.0286,,2.349,0.5354,594.943,3.4018,153.2567
BJ920077,2022-03-31,0.2297,151.8034,0.6191,0.522,40.2776590118,17.74,0.4723,52.7426,159.3037,6.0789,6.0789,16.3,190.5666,28.6606,,0.9131,0.0977,391.8154,1.7064,98.5653
BJ920077,2022-06-30,0.4207,204.8116,1.0644,1.0515,42.5517555483,32.79,0.798,66.0647,144.0296,24.5297,11.7375,28.16,225.5671,30.7978,0.8839,1.7231,0.9663,427.8583,2.7246,104.4629
BJ920077,2022-09-30,0.5546,170.1023,1.3856,1.5178,42.9785893128,44.12,2.1665,93.7337,110.0074,15.2984,15.2984,36.13,124.6265,31.8324,,2.2206,0.745,486.8374,2.8805,121.5888
BJ920077,2022-12-31,0.711,99.9851,1.7806,1.9758,38.7946429282,53.84,5.9952,73.2467,72.2817,29.3322,17.7688,42.36,60.0484,30.2141,1.29,3.1219,0.4298,506.3291,4.9149,115.3144
BJ920077,2023-03-31,0.1888,4.123,0.4489,0.5436,36.2086939053,11.01,14.6413,54.0346,21.6943,4.399,4.399,10.43,6.147,24.5223,,0.825,-0.4168,476.6949,1.6656,109.0909
BJ920077,2023-06-30,0.2903,-19.9816,0.764,0.4949,34.6781372902,16.63,20.528,64.6668,10.6017,15.8384,5.6482,16.12,8.7685,22.2817,0.5675,1.035,-0.4725,620.0482,2.7835,173.913
BJ920077,2023-09-30,0.3903,-36.2985,0.839,0.5242,31.3757521573,17.37,26.1291,70.296,10.0432,6.1322,6.1322,12.34,10.3333,18.427,,1.4077,-1.6995,691.7756,3.8409,191.8022
BJ920077,2023-12-31,0.4662,-63.2512,1.0471,0.3937,24.7110262852,10.47,42.4588,69.3815,-1.653,15.2783,4.4089,9.56,8.4788,11.2899,0.8656,1.7989,-2.5726,772.2008,5.1887,200.1223
BJ920077,2024-03-31,0.0743,-88.4481,0.1643,0.034,15.8662067806,0.82,105.8325,80.6813,-43.2613,0.3608,0.3608,0.82,0.8504,4.9927,,0.2594,-10.1181,1211.3055,1.1155,346.9545
BJ920077,2024-06-30,0.1393,-74.6355,0.3094,0.1157,17.7070712295,2.78,118.2499,99.5796,-37.377,13.1363,1.22,2.8,1.5222,9.0249,0.2809,0.5006,-1.7781,1292.1752,1.8076,359.5685
BJ920077,2024-09-30,0.2086,-73.8776,0.4691,0.1369,17.1546969222,3.3,126.5941,108.5165,-31.6126,1.4089,1.4089,3.3,2.1328,7.0387,,0.7479,-5.2461,1294.3432,2.4881,361.0108
BJ920077,2024-12-31,0.2868,-59.6487,0.6567,0.1589,16.2606845522,3.8615,109.1604,107.3761,-21.7643,14.3737,1.5734,3.84,3.2979,5.823,0.5893,1.0538,-3.4027,1255.2301,3.3527,341.6208
BJ920077,2025-03-31,0.0796,17.2147,0.1945,0.0399,14.9208702662,0.96,116.671,111.5518,19.7731,0.3832,0.3832,0.95,0.7714,4.886,,0.2988,-9.2364,1130.6533,0.8068,301.2048
BJ920077,2025-06-30,0.1931,13.1759,0.4758,0.131,15.8337922274,3.1,98.9228,96.2258,57.5342,14.7931,1.2103,3.05,1.8196,6.4836,0.4267,0.6838,-2.2442,932.1595,1.8706,263.2349
BJ920077,2025-09-30,0.3033,61.5622,0.7433,0.2212,17.0754261156,5.18,106.0112,97.494,63.983,2.0215,2.0215,5.04,2.5469,6.9348,,1.0582,-2.5997,890.2077,2.7694,255.1503
BJ920077,2025-12-31,0.4053,90.843,0.9961,0.3032,17.7332925764,7.0431,101.2943,102.1595,58.2141,17.6144,2.7065,6.79,3.554,7.0239,0.7745,1.3741,-2.1667,888.2309,3.5239,261.9897
BJ920077,2026-03-31,0.1014,75.0543,0.2535,0.0699,17.6633715292,1.56,125.751,111.9542,40.5691,0.6107,0.6107,1.54,0.7157,6.0847,,0.299,-0.3865,887.574,0.8039,301.0033
