instrument,datetime,inventory_turnover,profit_growth,gross_margin,asset_turn_days,net_margin,current_asset_turnover,asset_turnover,roa_alt,ar_turn_days,roe_weighted,current_asset_turn_days,equity_turnover,inventory_turn_days,eps,ocf_to_np,fixed_asset_turnover,roa,ar_turnover,revenue_growth,roe
BJ920871,2023-03-31,1.3723,-11.3634,24.189377145,583.2793,12.5518,0.1858,0.1543,1.9341,123.1864,2.2,484.3918,0.1757,65.5833,0.0703,-1.5638,,1.9341,0.7306,0.1996,2.18
BJ920871,2023-06-30,2.9638,-1.0201,25.1818705142,566.5722,12.3592,0.3902,0.3177,11.4385,130.1895,4.41,461.3019,0.3626,60.7328,0.1411,-0.0502,2.6639,3.9599,1.3826,8.5764,4.49
BJ920871,2023-09-30,4.2941,13.8692,26.3535862743,599.8667,13.2892,0.5638,0.4501,6.0203,129.8639,6.74,478.8932,0.5087,62.877,0.2154,1.032,,6.0203,2.0791,7.2069,6.69
BJ920871,2023-12-31,5.7146,33.9322,27.79397069,616.5439,14.6391,0.7731,0.5839,16.3361,136.1059,9.67,465.6577,0.6582,62.9965,0.3116,1.2209,4.997,8.4972,2.645,8.3949,9.4
BJ920871,2024-03-31,1.2794,9.5925,33.6187988157,735.8953,17.0038,0.183,0.1223,2.0597,147.4201,2.3,491.8033,0.1352,70.3455,0.0771,2.2424,,2.0597,0.6105,-19.1012,2.27
BJ920871,2024-06-30,3.2809,45.348,33.3930256361,613.079,18.5973,0.4464,0.2936,13.2794,129.683,6.06,403.2258,0.3325,54.863,0.2052,1.7178,2.5638,5.3336,1.388,-3.4063,6.18
BJ920871,2024-09-30,4.7182,58.5964,35.1147669371,614.6142,20.1448,0.6689,0.4393,8.4294,130.9345,10.06,403.6478,0.5008,57.2252,0.3416,1.3754,,8.4294,2.0621,4.6237,9.88
BJ920871,2024-12-31,5.8328,27.3531,32.4394459386,628.7111,17.4507,0.8657,0.5726,16.9475,128.7277,11.6,415.8484,0.6639,61.7199,0.3788,1.2151,2.7138,9.2823,2.7966,6.8341,11.22
BJ920871,2025-03-31,1.3555,-38.4658,27.2384541907,717.7033,8.8378,0.1976,0.1254,1.1079,147.8804,1.33,455.4656,0.1502,66.3962,0.0453,1.752,,1.1079,0.6086,18.3912,1.31
BJ920871,2025-06-30,2.6843,-48.4167,27.7475873085,697.4041,9.6901,0.414,0.2581,11.3613,148.8095,3.0,434.7826,0.3103,67.0566,0.0918,1.8043,0.8637,2.528,1.2096,-1.0005,3.05
BJ920871,2025-09-30,4.6952,-46.0161,27.8617038434,664.0433,10.5631,0.6489,0.4066,4.276,155.2259,5.28,416.0888,0.4904,57.5055,0.16,0.9467,,4.276,1.7394,2.9526,5.22
BJ920871,2025-12-31,6.5364,-65.5753,27.3019919256,669.2694,6.0432,0.8609,0.5379,13.2728,141.5039,3.86,418.167,0.6352,55.0762,0.1181,3.6138,1.7511,3.3083,2.5441,-0.5924,3.84
BJ920871,2026-03-31,1.3463,22.5524,31.8539427995,784.6556,12.3107,0.1891,0.1147,1.416,165.6848,1.62,475.9387,0.1306,66.8499,0.0504,0.4947,,1.416,0.5432,-12.0207,1.6
