instrument,datetime,revenue_growth,net_margin,equity_turnover,roe_weighted,inventory_turn_days,eps,roa_alt,asset_turnover,ar_turnover,roe,asset_turn_days,fixed_asset_turnover,profit_growth,ar_turn_days,roa,inventory_turnover,current_asset_turnover,current_asset_turn_days,ocf_to_np,gross_margin
SH600128,2021-03-31,64.3286,0.8294,0.3946,0.3019,15.7541,0.032,0.1821,0.2128,1.9876,0.3,422.9323,,99.957,45.2807,0.1821,5.7128,0.4361,206.3747,-34.4164,5.5466602187
SH600128,2021-06-30,42.9108,0.4783,0.9054,0.6729,15.0692,0.0422,7.1567,0.4809,4.1904,0.68,374.2982,5.4029,-56.539,42.9553,0.2344,11.9449,0.9698,185.6053,-21.1845,5.8837903032
SH600128,2021-09-30,29.4952,0.6569,1.4671,1.0507,14.3269,0.0942,0.5053,0.768,6.791,1.05,351.5625,,-36.5187,39.7585,0.5053,18.8457,1.5237,177.2002,-8.1356,5.7662386348
SH600128,2021-12-31,20.3301,0.8521,2.1047,1.6505,12.8816,0.1837,5.0935,1.1163,8.8015,1.59,322.494,15.4266,33.5286,40.9021,0.9218,27.9469,2.2533,159.7657,-4.0831,5.9155967114
SH600128,2022-03-31,24.9601,0.4853,0.4489,0.1903,16.923,0.0234,0.1177,0.2422,1.8983,0.19,371.5937,,-26.8839,47.4108,0.1177,5.3182,0.501,179.6407,-21.4381,4.8647881984
SH600128,2022-06-30,25.2371,0.5204,1.0347,0.9179,15.2009,0.0575,4.5406,0.5523,4.1713,0.93,325.9098,9.8508,36.2572,43.152,0.2862,11.8414,1.1341,158.7162,-13.6027,4.8938984129
SH600128,2022-09-30,20.8361,0.5607,1.6197,1.0993,14.4396,0.0972,0.4769,0.8599,5.9768,1.11,313.99,,3.1262,45.1747,0.4769,18.6986,1.7538,153.9514,-8.8769,5.0989144237
SH600128,2022-12-31,15.8449,0.6439,2.3335,1.819,11.5251,0.1608,4.3061,1.2005,8.1514,1.85,299.8751,23.3408,-12.458,44.1642,0.7418,31.2363,2.3615,152.4455,-3.6359,5.2134035931
SH600128,2023-03-31,-5.6999,1.633,0.421,0.2709,13.4864,0.0743,0.3425,0.2097,1.4026,0.27,429.1845,,217.3084,64.1665,0.3425,6.6734,0.3958,227.3876,-4.0742,4.6469368755
SH600128,2023-06-30,-5.8255,1.138,0.9726,0.6567,13.4976,0.1185,4.1929,0.4825,3.2391,0.66,373.057,10.6419,105.9357,55.571,0.5517,13.3357,0.9158,196.5495,-3.3007,5.2484568668
SH600128,2023-09-30,0.283,0.9933,1.6196,1.0125,11.7887,0.1726,0.7761,0.7913,5.2857,1.01,341.2107,,77.6697,51.0812,0.7761,22.9032,1.478,182.6793,-0.5622,5.1670834305
SH600128,2023-12-31,9.0087,0.9558,2.5151,1.5582,10.582,0.2603,4.3752,1.1917,7.6653,1.55,302.0895,28.3976,61.8207,46.9649,1.0838,34.0199,2.1662,166.1896,4.5938,5.3036724996
SH600128,2024-03-31,49.0775,0.6818,0.6165,0.1438,10.8004,0.0462,0.19,0.2805,1.702,0.14,320.8556,,-37.7621,52.879,0.19,8.333,0.4917,183.0384,-8.5439,4.6277145525
SH600128,2024-06-30,37.7519,1.0726,1.3034,0.9202,10.2304,0.1538,4.0324,0.5976,3.7336,0.93,301.2048,15.8811,29.8381,48.2108,0.6414,17.5946,1.054,170.778,-10.9143,4.7493714885
SH600128,2024-09-30,26.1173,1.1335,1.9853,1.7181,9.9556,0.2484,1.0589,0.9233,5.5893,1.72,292.4293,,43.9157,48.3066,1.0589,27.1203,1.6399,164.6442,-10.436,4.9493919078
SH600128,2024-12-31,6.5597,0.8695,2.6364,1.5777,14.5714,0.2523,4.3426,1.1991,7.086,1.57,300.2252,32.6758,-3.0714,50.8044,1.0348,24.7059,2.1029,171.1922,-6.378,5.378562274
SH600128,2025-03-31,19.4245,0.6177,0.732,0.1587,16.8187,0.05,0.197,0.3254,1.9271,0.16,276.5827,,8.1964,46.7023,0.197,5.3512,0.5591,160.973,-25.9241,3.3979096398
SH600128,2025-06-30,10.7298,1.0332,1.436,1.2328,20.3257,0.1641,3.8866,0.6369,3.8789,1.24,282.6189,18.6105,6.6525,46.4049,0.6438,8.8558,1.0944,164.4737,-6.3342,4.373676413
SH600128,2025-09-30,10.7672,1.234,2.183,2.3259,21.3449,0.2996,1.1498,0.9627,5.7642,2.31,280.4612,,20.5898,46.8408,1.1498,12.6494,1.6423,164.4036,-2.0844,4.4494161089
SH600128,2025-12-31,8.0229,0.9485,2.8246,2.2654,18.0991,0.2915,4.3692,1.2412,7.7491,2.25,290.0419,37.1481,17.8404,46.457,1.138,19.8905,2.1122,170.4384,3.1198,5.1299399545
SH600128,2026-03-31,-27.3315,0.8513,0.5261,0.6101,28.8425,0.0491,0.1969,0.2282,1.5941,0.61,394.3909,,0.1601,56.4582,0.1969,3.1204,0.3829,235.0483,-29.4094,4.3005157513
