instrument,datetime,asset_turnover,profit_growth,equity_turnover,eps,gross_margin,roe_weighted,ar_turn_days,inventory_turn_days,revenue_growth,roa_alt,roa,roe,ar_turnover,net_margin,fixed_asset_turnover,current_asset_turnover,ocf_to_np,asset_turn_days,inventory_turnover,current_asset_turn_days
SH600198,2021-03-31,0.033,27.655764436243,,-0.1102,46.2370933428,,398.2301,331.2477,-40.3987,-3.1283,-3.1283,,0.226,-94.2715,,0.0794,-0.744099269486,2727.2727,0.2717,1133.5013
SH600198,2021-06-30,0.096,72.206302751134,,-0.1364,47.2625465446,0.0,276.7528,239.6804,-42.8261,16.3912,-3.9814,,0.6504,-40.6823,0.7503,0.2293,-0.399892193107,1875.0,0.751,784.9978
SH600198,2021-09-30,0.1565,62.879222749597,,-0.1813,48.0122492389,,247.5474,237.467,-36.4434,-5.3992,-5.3992,,1.0907,-33.499,,0.3699,-0.315043934746,1725.2396,1.137,729.927
SH600198,2021-12-31,0.3404,96.140022430753,2.1935,0.0548,39.9516703214,,196.5173,134.8214,8.5807,14.4384,1.578,-11.83,1.8319,5.49,4.3036,0.607,-4.1249,1057.5793,2.6702,593.0807
SH600198,2022-03-31,0.0337,42.213424532422,0.087,-0.0292,47.9818660376,-10.25,559.7015,456.621,44.3096,-0.8969,-0.8969,-10.44,0.1608,-25.8083,,0.0509,0.089699990953,2670.6231,0.1971,1768.1729
SH600198,2022-06-30,0.1035,50.13997314484,0.2391,0.0141,54.1453553561,-4.91,385.6867,334.8837,44.2025,15.7665,0.5027,-3.86,0.4667,4.339,2.1301,0.1635,-6.1966,1739.1304,0.5375,1100.9174
SH600198,2022-09-30,0.1537,34.44095774043,0.3533,-0.0013,54.527589716,-14.27,387.0968,348.7921,31.6217,-0.046,-0.046,-12.95,0.6975,-0.2645,,0.2431,-0.212684489991,1756.6688,0.7741,1110.6541
SH600198,2022-12-31,0.2657,54.5573,0.6133,0.0847,47.5995129633,8.4118,285.2163,221.7431,-17.9935,17.8126,3.1509,7.6,1.2622,10.3469,5.352,0.4125,0.1326,1354.9116,1.6235,872.7273
SH600198,2023-03-31,0.0254,-55.458240266197,0.0495,-0.0591,33.4280935817,-14.6496,699.8445,502.5126,-41.6985,-2.3465,-2.3465,-15.84,0.1286,-89.5013,,0.0416,0.00876139639,3543.3071,0.1791,2163.4615
SH600198,2023-06-30,0.1225,-467.5157,0.2374,-0.0518,43.8168637745,-19.44,333.7041,254.5249,-0.0318,13.403,-1.9819,-18.92,0.5394,-15.9517,2.2357,0.2002,-0.402011004562,1469.3878,0.7072,899.1009
SH600198,2023-09-30,0.1637,-104.590491917069,0.3241,-0.0903,40.9834982438,-29.49,370.6246,298.4745,-9.8406,-3.4979,-3.4979,-33.96,0.7285,-20.9332,,0.2683,-0.42387048474,1649.3586,0.9046,1006.3362
SH600198,2023-12-31,0.3197,-24.2346,0.8455,0.0643,44.6495251662,9.7366,272.2529,209.351,-4.6524,13.744,2.9234,12.61,1.3223,8.2219,6.712,0.4851,-0.309,1126.0557,1.7196,742.115
SH600198,2024-03-31,0.0233,-10.507107094208,0.116,-0.0604,39.5763037795,-27.3054,1033.2951,834.8794,-20.5904,-2.6196,-2.6196,-31.61,0.0871,-114.8572,,0.0327,-1.755318493741,3862.6609,0.1078,2752.2936
SH600198,2024-06-30,0.1023,29.668103805143,0.4629,-0.0287,44.9186282879,-22.1415,499.4451,446.5393,-33.2533,10.4944,-1.4011,-24.88,0.3604,-13.1895,2.5748,0.1489,-0.674571563258,1759.5308,0.4031,1208.865
SH600198,2024-09-30,0.1646,28.517159842138,0.7509,-0.0447,48.698416038,-8.54,490.0181,464.9561,-19.8055,-2.2097,-2.2097,-41.17,0.551,-12.833,,0.2332,-0.581899795509,1640.3402,0.5807,1157.8045
SH600198,2024-12-31,0.3361,-38.8652,1.4621,0.0395,45.3584776773,8.833,314.4105,241.4811,-8.053,12.8227,1.89,8.67,1.145,5.4667,8.283,0.4718,-2.9573,1071.1098,1.4908,763.0352
SH600198,2025-03-31,0.021,0.977700853022,0.0928,-0.0616,27.2441089333,-25.9057,1283.8802,798.5803,-17.0705,-2.9496,-2.9496,-29.76,0.0701,-140.4497,,0.0292,-1.665089972429,4285.7143,0.1127,3082.1918
SH600198,2025-06-30,0.1012,-31.313412251489,0.4412,-0.0491,51.5022925528,-28.88,566.9291,540.8654,-3.3183,8.8766,-2.3612,-33.74,0.3175,-23.2807,2.3867,0.1409,-0.624146880157,1778.6561,0.3328,1277.5018
SH600198,2025-09-30,0.1978,45.248000798331,0.858,-0.0013,55.800269231,-0.25,416.0888,477.3692,22.6267,-0.0563,-0.0563,-18.08,0.6489,-0.2938,,0.2731,-0.290621126132,1365.0152,0.5656,988.6488
SH600198,2025-12-31,0.3535,-68.8823,1.5453,0.0123,41.7797032929,-19.734,282.3751,242.4079,6.6663,11.0875,0.5415,-22.18,1.2749,1.5948,8.5217,0.5177,4.1414,1018.3876,1.4851,695.3834
SH600198,2026-03-31,0.03,11.29493201609,0.1427,-0.0546,16.9331976149,-11.68,735.2941,578.0347,52.3008,-2.5091,-2.5091,-34.0,0.1224,-81.8281,,0.0467,-1.457913471601,3000.0,0.1557,1927.1949
