instrument,datetime,profit_growth,inventory_turn_days,asset_turnover,current_asset_turn_days,roa_alt,inventory_turnover,asset_turn_days,equity_turnover,roe_weighted,revenue_growth,current_asset_turnover,gross_margin,roe,ocf_to_np,roa,eps,ar_turnover,fixed_asset_turnover,net_margin,ar_turn_days
SH600767,2021-03-31,172.227261206971,105.7579,0.0231,1359.5166,0.129,0.851,3896.1039,0.0333,0.521,-35.1758,0.0662,15.4729293448,0.52,-24.287,0.129,0.0012,0.3397,,5.4743,264.9397
SH600767,2021-06-30,-81.952278201781,123.3637,0.0423,1382.4885,0.3065,1.4591,4255.3191,0.059,0.705,-59.7328,0.1302,-98.1169524729,0.7,-11.2748,0.1365,0.0012,0.6129,20.6113,3.0415,293.6858
SH600767,2021-09-30,-94.426,121.5504,0.0705,1289.3983,0.047,2.2213,3829.7872,0.0967,0.62,-66.4849,0.2094,25.3436698064,0.62,-24.6938,0.047,0.0004,0.9832,,0.6178,274.6135
SH600767,2021-12-31,43.042,106.3767,0.1597,829.8755,4.9996,3.3842,2254.2267,0.2192,5.892,6.5612,0.4338,51.0980722657,5.6,0.2184,4.8329,0.0447,2.1095,71.0459,29.3816,170.6566
SH600767,2022-03-31,-1153.1602,85.3809,0.0299,1057.5793,-1.4121,1.0541,3010.0334,0.0384,-1.617,23.4902,0.0851,46.6383770285,-1.63,-2.499455902742,-1.4121,-0.0128,0.3251,,-46.6861,276.8379
SH600767,2022-06-30,-1510.0702,77.8614,0.0551,1142.8571,-1.6851,2.3118,3266.7877,0.0706,-2.0817,27.8354,0.1575,37.1464226363,-2.1,-1.395089904029,-1.8838,-0.0168,0.6304,22.97,-33.5483,285.533
SH600767,2022-09-30,1388.0922,79.3651,0.1095,922.1311,0.6128,3.402,2465.7534,0.1433,0.62,60.8925,0.2928,56.6439943748,0.62,-10.5838,0.6128,0.0059,1.1636,,5.7137,232.0385
SH600767,2022-12-31,-331.8701,98.3875,0.1495,953.3898,-11.4257,3.659,2408.0268,0.2071,-16.082,-10.8378,0.3776,52.5051074315,-17.47,-0.292920889323,-11.645,-0.1036,1.4558,64.938,-76.4081,247.2867
SH600767,2023-03-31,-36.471452031023,161.3482,0.0229,1533.2198,-2.1795,0.5578,3930.131,0.0337,-2.932,-28.3542,0.0587,34.7140974038,-2.98,-2.03180613703,-2.1795,-0.0179,0.1939,,-91.1052,464.1568
SH600767,2023-06-30,-136.322410271264,143.5865,0.0511,1324.5033,-5.3488,1.2536,3522.5049,0.0738,-7.0381,-15.8793,0.1359,41.9159169748,-7.3,-1.320220461975,-5.3488,-0.0406,0.3669,,-96.4224,490.5969
SH600767,2023-12-31,6.806383685949,112.1286,0.1138,1163.1664,-15.7209,3.2106,3163.4446,0.1636,-17.724,-35.8731,0.3095,31.4043286048,-20.21,-0.532965269183,-15.7209,-0.1004,0.8179,,-115.4898,440.1516
SH600767,2024-06-30,103.461906337498,153.8462,,757.5758,0.2209,1.17,2522.80767120579,0.0957,0.29,7.397,0.2376,57.2982847277,0.29,8.5966,0.2209,0.0014,0.4629,,3.074,388.8529
SH600767,2024-12-31,86.02960335834,154.3475,,796.8127,-2.115,2.3324,2696.18837238537,0.1804,-2.86,-3.4309,0.4518,49.3013764995,-2.9,0.229224673283,-2.115,-0.0131,0.8718,,-15.5908,412.9387
SH600767,2025-06-30,-684.351,244.2997,,1173.4029,-1.3409,0.7368,4038.36609739985,0.0601,-1.6,-39.6628,0.1534,43.4563535126,-1.61,-0.539515095238,-1.3409,-0.0081,0.3082,,-29.7712,584.0363
SH600767,2025-12-31,25.995949726895,102.2727,,715.7058,-1.8712,3.52,2471.31877135967,0.1937,-2.17,4.5546,0.503,30.4960693235,-2.2,-0.087040295489,-1.8712,-0.011,0.9715,,-12.4978,370.561
