instrument,datetime,inventory_turnover,profit_growth,gross_margin,asset_turn_days,net_margin,current_asset_turnover,asset_turnover,roa_alt,ar_turn_days,roe_weighted,current_asset_turn_days,equity_turnover,inventory_turn_days,eps,ocf_to_np,fixed_asset_turnover,roa,ar_turnover,revenue_growth,roe
SH601005,2023-03-31,3.4294,-123.8041,0.4912447471,336.5744,-1.0071,1.252,0.2674,-0.2708,0.4686,-0.5,71.885,0.4918,26.2437,-0.0118,-0.098130781173,,-0.2708,192.0424,20.0679,-0.5
SH601005,2023-06-30,8.0883,-184.1841,-0.6352605794,331.4307,-2.0707,2.7128,0.5431,20.6357,0.3154,-2.06,66.3521,0.9938,22.2544,-0.0487,0.019743938144,0.7971,-1.1455,570.7806,16.5332,-2.08
SH601005,2023-09-30,11.4322,-118.313942464669,-0.3865102695,356.8125,-1.9736,3.4276,0.7567,-1.4823,7.1348,-2.81,78.7723,1.426,23.6175,-0.0664,0.016178413852,,-1.4823,37.8425,16.9357,-2.85
SH601005,2023-12-31,15.343,-46.596349363258,-1.7403431217,351.2195,-3.8008,5.3985,1.025,19.9508,0.3178,-7.26,66.6852,1.9088,23.4635,-0.1676,0.025994070083,1.4996,-4.0004,1132.7732,7.5396,-7.53
SH601005,2024-03-31,2.7107,-216.502868238103,-2.0965585065,433.9441,-4.3141,1.2789,0.2074,-0.8964,0.2316,-1.7,70.373,0.3929,33.2018,-0.0374,-0.107658494955,,-0.8964,388.567,-26.1114,-1.71
SH601005,2024-06-30,6.2937,-58.53435609284,-3.149487533,440.6365,-4.5686,2.6034,0.4085,24.6274,0.3503,-3.54,69.1404,0.7745,28.6,-0.0773,0.054537227994,0.5837,-1.8885,513.9025,-28.1441,-3.61
SH601005,2024-09-30,10.0486,-127.874340753685,-5.2485782339,480.2561,-6.5528,3.68,0.5622,-3.7582,0.2735,-7.05,73.3696,1.0754,26.8694,-0.1513,0.052928132599,,-3.7582,987.3651,-31.3691,-7.31
SH601005,2024-12-31,13.2162,-113.833334556331,-4.9746879507,481.2191,-11.7293,4.4158,0.7481,20.172,0.3121,-17.53,81.5254,1.4944,27.2393,-0.3583,0.048078667667,1.055,-9.0068,1153.5543,-30.7084,-19.24
SH601005,2025-03-31,3.9802,64.820284389646,0.5824408338,482.0568,-1.7752,1.0445,0.1867,-0.3318,0.2404,-0.71,86.1656,0.3996,22.6119,-0.0133,0.061794723536,,-0.3318,374.4532,-14.507,-0.71
SH601005,2025-06-30,7.9355,80.990242600772,1.1747017427,488.3342,-1.0013,2.2197,0.3686,30.9046,0.3194,-0.79,81.092,0.7907,22.6829,-0.0148,0.067285272139,0.5019,-0.3689,563.6119,-13.2627,-0.79
SH601005,2025-09-30,12.6284,83.824658933843,1.3348601103,498.8914,-1.1436,3.3282,0.5412,-0.6224,0.2128,-1.32,81.1249,1.1565,21.3804,-0.0247,0.095998907082,,-0.6224,1268.9517,-7.3152,-1.33
SH601005,2025-12-31,15.3429,14.824609248202,0.8203878725,506.6854,-11.3402,4.312,0.7105,28.4467,0.2066,-17.84,83.4879,1.5729,23.4636,-0.3075,0.068699853419,0.9212,-8.4829,1742.1784,-11.9017,-19.56
SH601005,2026-03-31,3.0583,-69.615120219319,-0.8831376525,590.5512,-4.0727,0.9683,0.1524,-0.6211,0.2674,-1.44,92.9464,0.3539,29.4281,-0.0225,-0.179465335046,,-0.6211,336.5145,-26.0676,-1.45
