instrument,datetime,inventory_turn_days,asset_turnover,profit_growth,revenue_growth,ocf_to_np,roa_alt,roe_weighted,current_asset_turnover,net_margin,roa,eps,equity_turnover,asset_turn_days,inventory_turnover,ar_turn_days,current_asset_turn_days,roe,gross_margin,fixed_asset_turnover,ar_turnover
SH603202,2021-12-31,145.9795,0.7481,211.0167,25.0299,1.2957,13.8046,34.74,1.189,9.7951,7.1006,,3.5391,481.2191,2.4661,73.3511,302.7754,30.51,22.2345791975,3.9087,4.9079
SH603202,2022-12-31,131.5934,1.0021,245.2196,68.9306,0.257,22.472,67.32,1.4801,20.0169,16.9751,,3.1497,359.2456,2.7357,73.5685,243.2268,44.98,31.1020893057,5.9016,4.8934
SH603202,2023-12-31,107.8813,1.1578,113.4176,74.2652,0.6472,23.3311,65.01,1.5352,24.5141,23.3311,,2.6281,310.9345,3.337,76.692,234.4971,48.47,36.2068113975,,4.6941
SH603202,2024-03-31,,,,,1.0836,,12.44,,24.6329,,,1.077,,,,,12.44,36.960970818,,
SH603202,2024-06-30,103.4364,,,,0.9034,12.9521,27.38,0.6736,26.9894,12.9521,,1.0143,346.911780424048,1.7402,76.2421,267.2209,24.11,37.1744222157,,2.3609
SH603202,2024-09-30,,,50.796300126238,32.585188914002,0.265986848455,0.0,,,26.4171012506,20.4409495015,,3.707,348.937672252752,,,,33.06,36.9123634173,,
SH603202,2024-12-31,95.5972,1.0239,34.8432,29.8968,0.9301,26.1139,49.4,1.3573,25.4476,22.2365,9.4679,1.9406,351.5968,3.7658,85.9989,265.2324,39.68,35.4586736731,,4.1861
SH603202,2025-03-31,105.3864,0.1969,4.1732,11.4298,1.9508,4.379,8.05,0.2678,23.0288,4.379,2.0011,0.3475,457.0848,0.854,97.4026,336.0717,7.66,33.5225302211,,0.924
SH603202,2025-06-30,119.1658,0.2841,-4.5278,-0.4888,1.4651,8.1885,12.58,0.3565,25.894,5.726,3.2844,0.4318,633.5797,1.5105,90.978,504.9088,8.04,37.1888954129,3.1879,1.9785
SH603202,2025-09-30,122.4046,0.4179,-8.485284997573,-7.4901,1.2951,8.5058,15.36,0.5291,26.1212,8.5058,4.8644,0.6279,646.0876,2.2058,90.9918,510.3005,11.75,36.3163602588,,2.9673
SH603202,2025-12-31,122.499,0.5677,-18.9137,-10.4623,1.1587,13.1033,16.23,0.7266,23.0457,10.265,5.7579,0.8301,634.1377,2.9388,89.4721,495.4583,13.63,34.506335759,5.8272,4.0236
SH603202,2026-03-31,178.8553,0.0876,-47.2887,-22.918,1.1327,1.351,1.86,0.1091,15.7479,1.351,0.7911,0.1178,1027.3973,0.5032,70.6381,824.9313,1.85,32.5849903096,,1.2741
