instrument,datetime,profit_growth,inventory_turn_days,asset_turnover,current_asset_turn_days,roa_alt,inventory_turnover,asset_turn_days,equity_turnover,roe_weighted,revenue_growth,current_asset_turnover,gross_margin,roe,ocf_to_np,roa,eps,ar_turnover,fixed_asset_turnover,net_margin,ar_turn_days
SZ000416,2021-03-31,-85.0586,,0.0022,34615.3846,0.1163,0.0,40909.0909,0.0023,0.1,87.871,0.0026,,0.1,-16.4762,0.1163,0.0021,0.2229,,52.767,403.7685
SZ000416,2021-06-30,-64.5785,,0.0035,43902.439,7.192,0.0,51428.5714,0.0036,0.63,36.3894,0.0041,,0.63,-2.5206,0.6487,0.0115,0.3488,0.0664,184.5561,516.055
SZ000416,2021-09-30,-72.66,,0.0052,44262.2951,0.8079,0.0,51923.0769,0.0054,0.78,27.8914,0.0061,,0.78,-1.3929,0.8079,0.0143,0.492,,154.0579,548.7805
SZ000416,2021-12-31,-58.3899,,0.0069,44444.4444,8.2512,0.0,52173.913,0.0072,1.519,-40.5457,0.0081,,1.52,0.7316,1.6373,0.0294,0.654,0.1353,235.4495,550.4587
SZ000416,2022-03-31,-525.6559,,0.0013,60000.0,-0.5052,0.0,69230.7692,0.0013,-0.52,-42.343,0.0015,,-0.52,-24.562133930822,-0.5052,-0.0089,0.1552,,-389.5554,579.8969
SZ000416,2022-06-30,-180.3364,,0.0017,90000.0,6.4019,0.0,105882.3529,0.0018,-0.55,-51.5502,0.002,,-0.56,-21.851737710968,-0.5254,-0.0092,0.2013,0.0343,-306.0194,894.1878
SZ000416,2022-09-30,-216.0772,,0.0021,108000.0,-0.9507,0.0,128571.4286,0.0022,-1.01,-59.1249,0.0025,,-1.02,-19.03983345969,-0.9507,-0.0166,0.2694,,-437.4942,1002.2272
SZ000416,2022-12-31,-287.1379,,0.0037,81818.1818,4.093,0.0,97297.2973,0.0038,-3.267,-48.5632,0.0044,,-3.34,-8.201035711202,-3.2302,-0.0551,0.6616,0.0666,-856.615,544.1354
SZ000416,2023-03-31,86.050013350177,,0.0016,47368.4211,-0.0726,0.0,56250.0,0.0016,-0.08,17.7047,0.0019,,-0.08,-2.829623379728,-0.0726,-0.0012,0.8902,,-45.6319,101.1009
SZ000416,2023-06-30,178.005328936077,,0.0027,52941.1765,7.9642,0.0,66666.6667,0.0028,0.44,53.9289,0.0034,,0.44,3.9295,0.4491,0.0076,1.4007,0.0331,164.6275,128.5072
SZ000416,2023-09-30,163.873663428366,,0.003,71052.6316,0.7191,0.0,90000.0,0.0031,0.67,36.411,0.0038,,0.66,3.1841,0.7191,0.0124,1.749,,238.9037,154.3739
SZ000416,2023-12-31,-353.352131164971,,0.0044,64285.7143,-6.8343,,81818.1818,0.0048,-16.387,13.4847,0.0056,99.5256749874,-17.85,27.944691313857,-15.1455,-0.2422,2.5181,0.0433,-3320.8223,142.9649
SZ000416,2024-03-31,-148.432320079476,,0.0026,25714.2857,-0.1859,0.0,34615.3846,0.003,-0.22,55.0081,0.0035,,-0.22,-57.291805436775,-0.1859,-0.003,1.8493,,-70.692,48.6671
SZ000416,2024-06-30,-228.8623,,0.0042,31034.4828,-0.6791,0.0,42857.1429,0.0045,-0.72,37.2883,0.0058,,-0.72,-38.212817312511,-0.6791,-0.0099,3.793,,-154.5237,47.4558
SZ000416,2024-12-31,86.746008940332,600000.0,0.006,45569.6203,-2.2283,0.0006,60000.0,0.0065,-2.3855,25.057,0.0079,98.3787894514,-2.4,-38.421783036749,-2.2283,-0.032,6.1644,,-350.729,58.3998
SZ000416,2025-06-30,-22.899560635731,94736.8421,,138461.5385,-0.8039,0.0019,10595.3642191462,0.001,-0.9,-77.508,0.0013,65.0509716077,-0.91,-12.561864405135,-0.8039,-0.0113,2.82,,-789.3831,63.8298
SZ000416,2025-12-31,-50.002555381067,80000.0,,144000.0,-3.4202,0.0045,10388.6698917821,0.0021,-3.6721,-69.1699,0.0025,58.9809017081,-3.74,-21.684330624926,-3.4202,-0.0475,,,-1689.8081,
