instrument,datetime,profit_growth,inventory_turn_days,inventory_turnover,asset_turn_days,revenue_growth,gross_margin,roe,ocf_to_np,roa,ar_turnover,net_margin,ar_turn_days
SZ000562,2014-09-30,10.217120266152,,,3073.51223286995,6.336261195663,,8.12,2.383272211786,3.0751297246,,35.0053660228,
SZ000562,2014-06-30,-12.145287765288,,,3137.13142512402,-11.589061112465,,4.84,2.720065702603,1.9618050639,,34.1913350887,
SZ000562,2014-03-31,-26.610852915511,,,3043.68271765355,-23.635765091518,,2.4,2.326967420642,0.9941632272,,33.6213048116,
SZ000562,2013-12-31,41.445281229431,,,2976.38243275401,24.959780363425,,8.35,-0.109521022435,3.6057928008,,29.8117176347,
SZ000562,2013-09-30,40.715327869044,,,2708.69801270792,37.529776832902,,7.6,0.083997149903,3.364336209,,33.7517437167,
SZ000562,2013-06-30,29.668382379037,,,2384.11918151624,32.369943991442,,5.56,-1.051652424312,2.5961061565,,34.3857026945,
SZ000562,2013-03-31,77.385505976269,,,2179.4758999667,55.537598077135,,3.25,-1.122530021466,1.4433367561,,34.9524186153,
SZ000562,2012-12-31,34.400858887467,,,2992.77511082924,40.029054254025,,7.88,-1.119275458552,3.1667813237,,26.3262897976,
SZ000562,2012-09-30,18.25468885052,,,2745.83739762706,30.10116031375,,8.22,-2.355171067394,3.2437382814,,32.9880662267,
SZ000562,2012-06-30,4.840247959398,,,2465.71232363126,17.963586109981,,8.62,-1.783240869068,2.5624965848,,35.1021078251,
SZ000562,2012-03-31,-18.443839119636,,,2227.54327661945,10.870707769823,,3.79,-0.229252003631,1.2382571638,,30.6474602222,
SZ000562,2011-12-31,-50.58165849643,,,3680.07272335477,-28.77741127399,,9.03,-2.086430731561,2.6831927325,,27.4287344061,
SZ000562,2011-09-30,-39.583624847928,,,3389.27924388637,-27.821246774263,,0.0,-3.286264260467,2.891186252,,36.292731682,
SZ000562,2011-06-30,-15.9441545725,,,2930.42138731079,-8.967369999181,,8.26,-2.573897910267,2.42602657,,39.4960008171,
SZ000562,2011-03-31,-19.339933258138,,,2885.39139398431,-13.842738437152,,4.53,-2.40840709334,1.2995479647,,41.6633834833,
SZ000562,2010-12-31,13.435377128343,,,3039.5582506082,13.178895035673,,18.88,-0.34327856584,4.6819566467,,39.5307776514,
SZ000562,2010-09-30,24.03544764179,,,2681.96261861746,22.21372054317,,0.0,-1.425517004053,4.3650117064,,43.3585119493,
SZ000562,2010-06-30,40.132259231544,,,2777.68680712028,30.316783805859,,10.82,-1.973924552354,2.7718614697,,42.7742390861,
SZ000562,2010-03-31,33.202003739451,,,2647.2140961058,52.138263623335,,6.25,-0.043110421019,1.5130082238,,44.5028521964,
SZ000562,2009-12-31,112.619860183363,,,2729.41666340511,82.668870000783,,20.0,3.010420392713,5.2021749126,,39.4413969235,
SZ000562,2009-09-30,112.985578069304,,,2577.1412670179,72.32173996883,,,4.127412426695,4.4758348657,,42.7216990247,
SZ000562,2009-06-30,48.466799205251,,,2352.35996659372,35.090040146196,,9.67,1.483819175476,3.0437799169,,39.7781445758,
SZ000562,2009-03-31,3.734181350639,,,2452.88062347877,-12.320584092817,,,4.881275503415,1.8650120414,,50.8294655438,
SZ000562,2008-12-31,-73.426495416559,,,4290.89118913075,-63.95901204734,,9.87,-4.219141523549,2.8429420121,,33.8854300866,
SZ000562,2008-09-30,-78.304372603446,,,4196.25001166558,-66.638387673939,,,-3.795645353092,2.224030808,,34.5651455704,
SZ000562,2008-06-30,-65.784028938841,,,3851.2878094005,-53.799155446312,,5.69,-1.655439878581,1.6916286703,,36.1941604214,
SZ000562,2008-03-31,-1.876816427525,,,2754.15598424502,16.821791706896,,,-3.595143080772,1.4039294475,,42.9626743252,
SZ000562,2007-12-31,538.255841839877,,,1244.42457348576,496.524820484269,,42.25,2.907357881577,13.2951970288,,45.9579719223,
SZ000562,2007-09-30,2247.04176162062,,,1140.04828634463,1217.34862387094,,,3.525668544806,12.5879128084,,53.1512163919,
SZ000562,2007-06-30,1983.17387996561,,,1229.72437122009,1041.18362377027,,24.61,5.046049851664,7.1535938065,,48.8719369206,
SZ000562,2007-03-31,4081.82164874417,,,1416.73776244394,9644.87364894701,,,4.425702898911,3.2493506427,,51.1497528765,
SZ000562,2006-12-31,3783.92695478949,,,2715.47244378563,4475.95197603728,,15.15,3.596880817184,5.6944485899,,42.9531061897,
SZ000562,2006-09-30,396.180341741033,,,5026.63334609075,652.332267268336,,0.0,6.191879972373,1.6024322215,,29.8327379239,
SZ000562,2006-06-30,275.245675500955,,,5053.59017925451,4589.98831272964,,6.36,8.676013232464,0.953590786,,26.7725390627,
SZ000562,2006-03-31,-61.327066613904,,,44534.120328432,-78.531607124926,,0.0,6.461147097705,0.2408817385,,119.1939591939,
SZ000562,2005-12-31,101.41351661586,,,-83490.8726861899,-110.436567534138,,1.19,-18.730279502275,0.2086697855,,-48.3945069245,
SZ000562,2005-09-30,-909.683543914038,,,-22073.0232134461,-124.772762809969,,0.0,-4.961954827811,-0.6805174134,,55.6336172735,
