instrument,datetime,current_asset_turn_days,fixed_asset_turnover,roe,roa_alt,ocf_to_np,net_margin,equity_turnover,roe_weighted,gross_margin,roa,profit_growth,asset_turn_days,inventory_turn_days,ar_turn_days,eps,revenue_growth,inventory_turnover,asset_turnover,ar_turnover,current_asset_turnover
SZ002030,2021-03-31,192.1435,,20.91,13.8986,0.6097,48.5052,0.4604,23.35,75.9480677858,13.8986,518.3932,285.8958,63.1225,69.3374,1.2939,297.6169,1.4258,0.3148,1.298,0.4684
SZ002030,2021-06-30,244.9646,8.6342,29.69,24.6686,0.6743,46.1178,0.687,31.53,73.5944718712,20.6668,121.7407,373.9871,78.4177,88.5347,1.1444,63.306,2.2954,0.4813,2.0331,0.7348
SZ002030,2021-09-30,256.3372,,40.01,27.8775,0.8548,45.1131,1.0191,45.64,74.7033417195,27.8775,69.3222,378.8942,70.842,90.4159,1.812,58.3607,3.8113,0.7126,2.9862,1.0533
SZ002030,2021-12-31,242.1959,16.4538,49.22,38.0826,0.9132,47.2125,1.2591,63.07,74.7649664757,35.0071,47.6906,400.1334,75.3311,88.1899,2.5783,43.493,4.7789,0.8997,4.0821,1.4864
SZ002030,2022-03-31,181.8549,,18.6,13.4582,0.4966,50.2716,0.3953,20.51,75.6046606718,13.4582,48.9225,306.4351,60.4676,75.3958,1.2043,43.6898,1.4884,0.2937,1.1937,0.4949
SZ002030,2022-06-30,188.0288,8.7551,37.73,30.465,0.4735,54.041,0.7631,40.45,75.8648271552,27.4823,124.6239,316.3445,69.4659,86.4138,2.5707,91.6906,2.5912,0.569,2.083,0.9573
SZ002030,2022-09-30,206.7223,,45.29,35.5576,0.5845,52.7455,0.9924,53.91,74.446744645,35.5576,93.6312,349.7409,63.2585,93.403,3.5087,65.6124,4.2682,0.772,2.8907,1.3061
SZ002030,2022-12-31,220.4667,13.085,47.89,40.179,0.7655,45.0564,1.2499,59.64,72.8416189332,36.7794,49.9952,374.9609,47.4997,94.518,3.8673,57.1728,7.579,0.9601,3.8088,1.6329
SZ002030,2023-03-31,2168.6747,,0.32,0.2731,-9.5462,11.0773,0.0293,0.32,55.7558141341,0.2731,-97.7649,3765.6904,235.0483,997.7827,0.0269,-89.8566,0.3829,0.0239,0.0902,0.0415
SZ002030,2023-06-30,2319.5876,0.4002,4.38,8.844,-0.0963,74.2967,0.0508,3.5,52.9055923465,3.4025,-88.9575,4444.4444,282.841,1174.1683,0.2839,-91.968,0.6364,0.0405,0.1533,0.0776
SZ002030,2023-09-30,2213.1148,,3.86,3.0601,0.8212,41.0885,0.08,3.31,54.8022811484,3.0601,-92.9714,4179.5666,267.5917,1049.7667,0.2466,-90.9774,1.009,0.0646,0.2572,0.122
SZ002030,2023-12-31,2145.4112,0.8744,1.18,7.5487,10.8754,6.0743,0.1137,1.08,50.4673946494,0.651,-98.6784,3930.131,187.4414,933.3679,0.0511,-90.1969,1.9206,0.0916,0.3857,0.1678
SZ002030,2024-03-31,2452.3161,,-4.27,-3.4811,-0.452824978274,-182.1114,0.0221,-4.18,55.8356936767,-3.4811,-1055.9577,4864.8649,252.1715,891.9722,-0.2573,-41.8518,0.3569,0.0185,0.1009,0.0367
SZ002030,2024-06-30,2371.5415,0.2913,-4.73,4.5099,0.049828604307,-99.3168,0.0448,-4.6,41.218626395,-3.9269,-199.8125,4749.3404,190.2748,841.9083,-0.2833,-25.3324,0.946,0.0379,0.2138,0.0759
SZ002030,2024-09-30,2364.2732,,-6.04,-5.0231,0.224041699088,-84.8493,0.0666,-5.83,39.9796677029,-5.0231,-244.8995,4795.7371,181.8427,804.05,-0.3573,-29.8321,1.4848,0.0563,0.3358,0.1142
SZ002030,2024-12-31,1917.9542,0.6339,-11.74,0.1349,0.352079890919,-110.0922,0.0986,-11.04,37.5465232947,-9.806,-1409.2041,4347.8261,147.8986,698.8934,-0.6691,-27.7647,2.4341,0.0828,0.5151,0.1877
SZ002030,2025-03-31,1882.8452,,0.67,0.5403,-0.7158,30.3085,0.0207,0.67,31.0381152934,0.5403,114.568028004619,5084.7458,154.6658,645.6241,0.0365,-14.71,0.5819,0.0177,0.1394,0.0478
SZ002030,2025-06-30,1812.6888,0.283,-2.37,8.9309,-0.031433611232,-56.1545,0.0421,-2.34,33.0393947162,-2.0854,54.370668323629,4972.3757,152.9442,591.133,-0.1355,-15.4371,1.1769,0.0362,0.3045,0.0993
SZ002030,2025-09-30,1784.534,,-1.83,-1.658,0.161900255518,-29.945,0.0624,-1.81,32.6673747049,-1.658,71.85219526513,5009.2764,156.2138,555.2128,-0.1074,-14.8115,1.7284,0.0539,0.4863,0.1513
SZ002030,2025-12-31,1574.1146,0.5313,-10.43,2.4179,0.421677861725,-103.0172,0.0977,-9.91,32.4013457326,-9.1713,19.541380442483,4295.9427,121.5272,475.1221,-0.5561,-11.1793,2.9623,0.0838,0.7577,0.2287
SZ002030,2026-03-31,1698.1132,,-1.39,-1.1782,-0.305365828751,-65.7097,0.0204,-1.38,30.7670367301,-1.1782,-291.5543,5084.7458,128.2051,440.9603,-0.07,-11.6458,0.702,0.0177,0.2041,0.053
