instrument,datetime,asset_turn_days,ar_turnover,profit_growth,fixed_asset_turnover,equity_turnover,roa_alt,current_asset_turnover,net_margin,eps,inventory_turnover,current_asset_turn_days,gross_margin,roe,revenue_growth,ocf_to_np,asset_turnover,ar_turn_days,inventory_turn_days,roa,roe_weighted
SZ002835,2021-03-31,563.5567,1.0578,-65.1375,,0.233,0.2269,0.2293,1.4232,0.0114,0.5797,392.4989,28.4976022436,0.33,38.2884,11.5145,0.1597,85.0822,155.2527,0.2269,0.33
SZ002835,2021-06-30,486.2237,2.1287,-31.9268,1.4648,0.5384,8.8377,0.5294,4.98,0.0922,1.3547,340.0076,27.323459273,2.67,41.4804,-1.8679,0.3702,84.5587,132.8707,1.843,2.66
SZ002835,2021-09-30,456.9301,3.2324,-23.4189,,0.8547,4.3189,0.8403,7.4092,0.222,1.9063,321.3138,29.8907469198,6.19,24.3511,-1.1972,0.5909,83.5293,141.6356,4.3189,6.28
SZ002835,2021-12-31,410.5371,4.2465,27.8303,3.6497,1.2694,15.1493,1.2428,8.9979,0.4114,3.1761,289.6685,30.1070088978,10.89,27.3162,-0.2262,0.8769,84.7757,113.3466,7.5803,10.25
SZ002835,2022-03-31,728.1553,0.6213,-82.6321,,0.1728,0.0385,0.1744,0.3028,0.002,0.3882,516.055,30.4193238485,0.05,-18.3565,46.6583,0.1236,144.8576,231.8393,0.0385,0.05
SZ002835,2022-06-30,554.1872,1.5465,88.0389,1.4155,0.4455,12.6361,0.4579,10.1683,0.1734,1.0199,393.0989,31.9776663734,4.47,-7.9071,1.0243,0.3248,116.3919,176.4879,3.4175,4.51
SZ002835,2022-09-30,506.6617,2.319,26.5956,,0.7288,5.4015,0.7451,9.9237,0.2811,1.8214,362.3675,32.3593762798,7.04,-5.4815,1.2668,0.5329,116.4295,148.2376,5.4015,7.27
SZ002835,2022-12-31,458.5987,3.2433,21.1715,3.7324,1.1072,17.3214,1.0897,11.2744,0.4986,2.7732,330.3662,35.4637212016,11.85,-3.295,1.6084,0.785,110.9981,129.8139,8.5393,12.44
SZ002835,2023-03-31,547.1125,0.7172,1894.2094,,0.2185,0.7311,0.2284,4.2686,0.0394,0.6532,394.0455,36.1743936357,0.93,41.4422,2.9838,0.1645,125.488,137.7832,0.7311,0.93
SZ002835,2023-06-30,484.7832,1.6552,34.7493,1.8919,0.5003,14.2516,0.5093,10.9818,0.2337,1.4754,353.4263,37.7118728378,5.44,24.7669,2.8326,0.3713,108.7482,122.0008,4.1545,5.4
SZ002835,2023-09-30,462.963,2.6708,44.2787,,0.7814,7.0061,0.7969,11.9632,0.4056,2.3799,338.8129,38.6163931939,9.08,19.6822,2.3724,0.5832,101.0933,113.4501,7.0061,9.29
SZ002835,2023-12-31,439.1851,3.5574,37.6073,4.4345,1.1043,20.6228,1.102,13.8743,0.6861,3.3352,326.6788,39.9449228849,14.45,11.8209,1.7714,0.8197,101.1975,107.9396,11.0174,15.32
SZ002835,2024-03-31,445.5446,0.885,399.3466,,0.254,3.3345,0.268,16.0726,0.1969,0.9827,335.8209,39.6856384151,4.02,32.6173,-0.3831,0.202,101.6949,91.5844,3.3345,4.08
SZ002835,2024-06-30,447.6498,1.8711,73.4439,2.3351,0.5178,17.0028,0.5313,16.2387,0.4053,1.7567,338.7916,41.7817292193,8.28,17.2956,1.1998,0.4021,96.2001,102.4648,6.5512,8.31
SZ002835,2024-09-30,446.6501,2.9641,65.0877,,0.7764,10.306,0.793,17.4118,0.6696,2.5786,340.4792,43.0597673213,12.98,13.4269,1.2805,0.6045,91.09,104.708,10.306,13.53
SZ002835,2024-12-31,444.0059,4.0156,33.1158,5.0378,1.0431,23.3757,1.0645,17.2541,0.9133,3.5715,338.1869,43.1123457536,16.91,7.0406,1.2809,0.8108,89.6504,100.798,13.3721,18.12
SZ002835,2025-03-31,508.1875,0.9098,20.4426,,0.2171,3.5388,0.2339,19.7973,0.2372,0.7761,384.7798,45.4191583883,4.21,-2.2179,-1.0188,0.1771,98.9228,115.9644,3.5388,4.3
SZ002835,2025-06-30,539.5683,1.8728,-6.4624,2.1224,0.4316,15.3593,0.4374,16.1827,0.3791,1.3399,411.5226,44.9430515519,6.95,-6.1384,0.6324,0.3336,96.1128,134.3384,5.254,6.97
SZ002835,2025-09-30,524.7813,2.8879,-20.195,,0.6483,7.5896,0.6829,14.9765,0.5344,2.0971,395.3727,44.3701195172,9.53,-7.2181,0.7673,0.5145,93.4935,128.7492,7.5896,9.63
SZ002835,2025-12-31,507.9723,3.8701,-30.485,4.4673,0.9147,19.0772,0.934,12.507,0.6349,2.8218,385.439,42.9058571637,11.14,-4.1004,0.8181,0.7087,93.0209,127.5781,8.4691,11.39
SZ002835,2026-03-31,534.4418,0.9177,-46.6888,,0.2159,1.7394,0.2243,10.172,0.1264,0.5186,401.2483,41.4767280788,2.17,3.7569,-5.6657,0.1684,98.0713,173.5442,1.7394,2.22
