instrument,datetime,revenue_growth,net_margin,equity_turnover,roe_weighted,inventory_turn_days,eps,roa_alt,asset_turnover,ar_turnover,roe,asset_turn_days,fixed_asset_turnover,profit_growth,ar_turn_days,roa,inventory_turnover,current_asset_turnover,current_asset_turn_days,ocf_to_np,gross_margin
SZ300868,2021-03-31,-5.1109,8.7778,0.087,0.76,66.8896,0.108,0.6504,0.0743,0.6777,0.76,1211.3055,,-49.9613,132.8021,0.6504,1.3455,0.0855,1052.6316,0.393,30.3852494515
SZ300868,2021-06-30,-21.2708,5.175,0.1683,0.86,67.8145,0.1215,3.7059,0.1433,1.3944,0.88,1256.1061,5.7397,-72.6727,129.0878,0.7473,2.6543,0.1662,1083.0325,1.0813,31.0249110146
SZ300868,2021-09-30,-18.1588,6.8462,0.2776,1.88,74.7964,0.2665,1.6251,0.2366,2.1383,1.91,1141.1665,,-60.3511,126.2685,1.6251,3.6098,0.2759,978.6154,0.4315,31.3212239293
SZ300868,2021-12-31,-16.3464,3.6952,0.4007,1.47,67.2683,0.2064,4.0286,0.3255,2.8627,1.49,1105.9908,9.1265,-75.1622,125.7554,1.1581,5.3517,0.3779,952.633,0.6774,28.619740389
SZ300868,2022-03-31,16.781,-4.9388,0.1054,-0.52,67.7456,-0.0709,-0.4034,0.0811,0.7795,-0.53,1109.7411,,-165.7055,115.4586,-0.4034,1.3285,0.0974,924.0246,-0.183556069927,22.6111787183
SZ300868,2022-06-30,19.7491,-4.7,0.2065,-0.95,67.9604,-0.1321,2.4707,0.1592,1.5588,-0.96,1130.6533,3.3715,-208.7565,115.4734,-0.7555,2.6486,0.1916,939.4572,-0.103964364063,22.3340607067
SZ300868,2022-09-30,10.9805,-3.0995,0.3174,-0.92,70.3987,-0.1339,-0.7666,0.2448,2.3013,-0.93,1102.9412,,-150.2441,117.325,-0.7666,3.8353,0.2945,916.8081,-0.145125268549,22.4593585066
SZ300868,2022-12-31,0.5826,-16.3472,0.4236,-5.11,60.8468,-0.9185,-2.0674,0.3293,3.328,-7.13,1093.2281,6.9696,-544.9711,108.1731,-5.6354,5.9165,0.4053,888.2309,-0.143950009727,19.4136449499
SZ300868,2023-03-31,-50.0964,-10.3794,0.0565,-0.58,118.0792,-0.0744,-0.473,0.0448,0.5344,-0.58,2008.9286,,-3.161762235224,168.4132,-0.473,0.7622,0.057,1578.9474,-0.315985222898,25.1874641838
SZ300868,2023-06-30,-32.2185,-11.0279,0.151,-3.05,79.9787,-0.2101,2.7515,0.1186,1.2192,-1.71,1517.7066,2.409,-66.89426272211,147.6378,-1.3267,2.2506,0.1511,1191.2641,-0.219684083259,18.1136238215
SZ300868,2023-09-30,-15.5221,-4.6188,0.2888,-1.39,67.1475,-0.1685,-1.0246,0.2229,2.0893,-1.4,1211.3055,,-41.621751183038,129.2299,-1.0246,4.021,0.2827,955.0761,-0.152160913982,19.3358324528
SZ300868,2023-12-31,-5.9344,-13.4389,0.4273,-5.8,65.0665,-0.7102,-0.7843,0.3231,3.1998,-5.97,1114.2061,6.7429,20.694736745091,112.507,-4.3257,5.5328,0.4137,870.1958,-0.091778842821,17.7846629818
SZ300868,2024-03-31,129.9864,4.013,0.1373,0.59,61.2245,0.0662,0.3975,0.0997,0.918,0.59,902.7081,,196.284069986931,98.0392,0.3975,1.47,0.1287,699.3007,6.3487,22.1411644804
SZ300868,2024-06-30,76.6471,3.9317,0.2798,1.21,56.7215,0.1323,4.5609,0.2046,1.8017,1.21,879.7654,4.1842,168.150015970142,99.9056,0.8033,3.1734,0.265,679.2453,1.0451,22.7288423856
SZ300868,2024-09-30,19.3617,1.2601,0.363,0.66,64.5423,0.0549,0.3375,0.2665,3.0512,0.66,1013.1332,,144.835830606002,88.4898,0.3375,4.1833,0.3446,783.5171,14.104,22.4819059956
SZ300868,2024-12-31,12.588,0.5922,0.4961,0.46,64.7435,0.0352,4.7307,0.3616,3.4875,0.46,995.5752,3.7275,107.720969600317,103.2258,0.2136,5.5604,0.4629,777.7058,14.8717,22.9257651208
SZ300868,2025-03-31,-29.1043,-3.0013,0.0977,-0.24,77.506,-0.0351,-0.2058,0.0697,0.8329,-0.24,1291.2482,,-153.0227,108.0562,-0.2058,1.1612,0.0876,1027.3973,-0.035352730098,27.7738601067
SZ300868,2025-06-30,-32.4645,-4.0172,0.1904,-0.65,83.5577,-0.0913,4.586,0.1382,1.634,-0.65,1302.4602,0.9532,-169.0047,110.1591,-0.5572,2.1542,0.1741,1033.8886,-0.005680095519,28.4296051965
SZ300868,2025-09-30,-21.0774,-6.41,0.2894,-1.66,83.1921,-0.2204,-1.3577,0.2101,2.504,-1.67,1285.1023,,-501.455,107.8275,-1.3577,3.2455,0.2642,1021.9531,0.023913315813,25.9069935235
SZ300868,2025-12-31,-17.3299,-9.8005,0.4189,-3.75,68.9193,-0.4823,2.5497,0.294,3.2506,-3.81,1224.4898,2.0876,-1468.1329,110.7488,-2.8415,5.2235,0.3691,975.3454,0.021398241396,22.983741281
SZ300868,2026-03-31,-6.0641,-6.6466,0.0956,-0.55,80.1425,-0.073,-0.436,0.0651,0.8652,-0.55,1382.4885,,-120.354054235207,104.0222,-0.436,1.123,0.0822,1094.8905,-0.190962710887,27.8784149689
