instrument,datetime,inventory_turnover,profit_growth,gross_margin,asset_turn_days,net_margin,current_asset_turnover,asset_turnover,roa_alt,ar_turn_days,roe_weighted,current_asset_turn_days,equity_turnover,inventory_turn_days,eps,ocf_to_np,fixed_asset_turnover,roa,ar_turnover,revenue_growth,roe
SZ301358,2023-03-31,3.7414,-72.0058,5.2738416579,189.7933,2.1337,0.6894,0.4742,0.965,41.094,4.8,130.5483,1.6471,24.0552,0.3712,-4.0954,,0.965,2.1901,115.809,2.73
SZ301358,2023-06-30,5.1423,-24.1509,9.630123145,209.5216,5.3433,1.3314,0.8591,9.2483,43.5551,13.55,135.196,2.778,35.0038,1.6355,-0.1037,3.2295,4.4995,4.1327,64.4944,11.32
SZ301358,2023-09-30,8.4049,-27.1911,8.5308097145,210.987,4.4913,2.0657,1.2797,5.6654,43.7028,15.92,130.7063,4.0407,32.1241,2.036,0.649,,5.6654,6.1781,29.4395,13.71
SZ301358,2023-12-31,12.1327,-47.4248,7.6460171702,231.6602,3.8216,2.5642,1.554,13.0338,47.7492,15.96,140.3947,4.857,29.6719,2.0872,0.3171,4.8158,5.8986,7.5394,-3.3482,14.01
SZ301358,2024-03-31,2.5143,-43.5446,7.5093353471,526.9321,3.5112,0.3264,0.1708,0.6069,87.049,1.4,275.7353,0.3966,35.7953,0.2096,-0.6114,,0.6069,1.0339,-65.6933,1.39
SZ301358,2024-06-30,5.5867,-68.6026,8.1665518885,448.5422,3.6067,0.7585,0.4013,11.2973,74.7819,3.4,237.3105,0.9479,32.2194,0.5135,0.245,1.0267,1.4434,2.407,-53.4847,3.41
SZ301358,2024-09-30,7.5969,-68.2775,7.8801443873,461.8543,3.0801,1.1253,0.5846,1.7768,76.9121,4.31,239.936,1.3906,35.5408,0.6459,-0.5037,,1.7768,3.5105,-53.7432,4.27
SZ301358,2024-12-31,10.1014,-62.6731,7.8478826534,455.1201,2.6106,1.5254,0.791,13.3663,79.1522,5.2,236.0037,1.9671,35.6386,0.7791,-1.7666,1.9612,1.9443,4.5482,-45.3583,5.11
SZ301358,2025-03-31,2.1209,-41.0324,5.5202903396,409.8361,1.384,0.4327,0.2196,0.2995,72.692,0.81,207.9963,0.5768,42.4348,0.1236,-5.6713,,0.2995,1.2381,49.6013,0.8
SZ301358,2025-06-30,4.3204,-22.5284,7.3649071948,399.6448,2.0982,0.8768,0.4504,14.2554,73.0964,2.59,205.292,1.2158,41.6628,0.3978,-2.0149,1.1392,0.9015,2.4625,33.1691,2.56
SZ301358,2025-09-30,6.627,30.6138,7.9151790322,391.3611,2.7504,1.3121,0.6899,1.7269,73.1034,5.4,205.777,1.9359,40.7424,0.8397,-2.0975,,1.7269,3.6934,46.2686,5.25
SZ301358,2025-12-31,9.7883,114.7716,9.1548910635,360.9746,3.6594,1.9071,0.9973,17.4768,62.3657,10.45,188.7683,2.8146,36.7786,1.6654,-1.2204,2.5328,3.2412,5.7724,53.2169,9.91
SZ301358,2026-03-31,2.871,1352.6165,16.1571735885,265.7219,9.084,0.5851,0.3387,2.7591,48.7673,9.98,153.8199,0.934,31.348,1.612,-0.7686,,2.7591,1.8455,121.3122,7.12
