instrument,datetime,nb_hold_pct,nb_hold_mv,nb_hold_chg
SH603398,2023-03-15,0.04,4652640.0,136700
SH603398,2023-03-16,0.02,2041023.6,-90360
SH603398,2023-03-22,0.01,1790243.0,-77450
SH603398,2023-03-23,0.05,4841889.0,118450
SH603398,2023-03-29,0.11,9598172.4,-32636
SH603398,2023-03-30,0.1,9296895.6,-10700
SH603398,2023-04-03,0.08,8549950.0,-39920
SH603398,2023-04-04,0.08,7847200.0,-18500
SH603398,2023-04-12,0.07,6489495.0,-93000
SH603398,2023-04-13,0.05,5274157.0,-44200
SH603398,2023-04-19,0.1,9278976.0,122900
SH603398,2023-04-20,0.02,2224780.0,-258700
SH603398,2023-04-26,0.12,11683636.0,290817
SH603398,2023-04-27,0.11,10565038.35,-43717
SH603398,2023-05-04,0.09,8874150.67,-192500
SH603398,2023-05-10,0.15,13895762.82,201360
SH603398,2023-05-11,0.15,14097506.64,-8700
SH603398,2023-05-17,0.08,8124601.38,-138100
SH603398,2023-05-18,0.08,7791898.14,-14283
SH603398,2023-05-24,0.1,10124897.67,-30767
SH603398,2023-05-25,0.09,8774966.46,-53058
SH603398,2023-05-31,0.11,10524547.71,-27818
SH603398,2023-06-01,0.09,8380183.51,-78200
SH603398,2023-06-07,0.12,10709191.98,98900
SH603398,2023-06-08,0.08,6843723.58,-141800
SH603398,2023-06-09,0.13,11196424.14,181700
SH603398,2023-06-14,0.09,8187280.7,-71200
SH603398,2023-06-15,0.16,14554690.98,251800
SH603398,2023-06-21,0.14,11948755.5,-103160
SH603398,2023-06-28,0.11,9988876.14,-120000
SH603398,2023-06-29,0.16,13398650.98,140600
SH603398,2023-07-05,0.25,21536988.9,-144600
SH603398,2023-07-06,0.22,18743125.5,-105000
SH603398,2023-07-12,0.28,24906321.0,-46740
SH603398,2023-07-13,0.25,21187222.5,-129700
SH603398,2023-07-19,0.13,11017704.0,-60036
SH603398,2023-07-20,0.19,16372570.8,211936
SH603398,2023-07-26,0.15,12531119.0,-97087
SH603398,2023-07-27,0.13,10803343.05,-66805
SH603398,2023-08-02,0.11,9149829.3,55600
SH603398,2023-08-03,0.14,11094855.0,82130
SH603398,2023-08-09,0.14,10579998.6,-20300
SH603398,2023-08-10,0.15,11702673.15,45600
SH603398,2023-08-16,0.1,7764344.1,-90000
SH603398,2023-08-17,0.11,8562292.8,32600
SH603398,2023-08-23,0.22,18031291.25,303540
SH603398,2023-08-24,0.21,17879645.7,-28567
SH603398,2023-08-30,0.08,6366637.68,-44000
SH603398,2023-08-31,0.09,7024340.52,34000
SH603398,2023-09-06,0.12,9829281.42,66800
SH603398,2023-09-07,0.09,7482429.5,-102400
SH603398,2023-09-13,0.12,9043996.5,67153
SH603398,2023-09-14,0.09,7133714.14,-83200
SH603398,2023-09-15,0.07,5279059.66,-87732
SH603398,2023-09-20,0.05,3500221.16,30400
SH603398,2023-09-21,0.09,6035931.58,142500
SH603398,2023-09-27,0.16,10849586.88,121000
SH603398,2023-09-28,0.13,8948869.92,-101100
SH603398,2023-10-11,0.11,7614565.92,18000
SH603398,2023-10-12,0.14,9664991.44,102200
SH603398,2023-10-13,0.14,9887722.8,14073
SH603398,2023-10-16,0.11,7710447.36,-109400
SH603398,2023-10-17,0.1,7036224.8,-31100
SH603398,2023-10-18,0.09,6234022.32,-29500
SH603398,2023-10-19,0.12,7748804.0,91400
SH603398,2023-10-20,0.12,7384688.64,-12500
SH603398,2023-10-24,0.23,14353788.58,395662
SH603398,2023-10-25,0.25,15358925.47,51727
SH603398,2023-10-26,0.27,16811766.51,89800
SH603398,2023-10-27,0.37,22466569.51,319300
SH603398,2023-10-30,0.3,19267695.15,-207000
SH603398,2023-10-31,0.23,14353671.42,-256100
SH603398,2023-11-01,0.27,16639433.7,134600
SH603398,2023-11-02,0.27,16187120.37,-8180
SH603398,2023-11-03,0.42,26104535.82,533000
SH603398,2023-11-06,0.51,33193133.73,283026
SH603398,2023-11-07,0.43,29069095.02,-254140
SH603398,2023-11-08,0.4,27109541.98,-106400
SH603398,2023-11-09,0.39,25758867.75,-49264
SH603398,2023-11-10,0.39,25117054.56,3600
SH603398,2023-11-13,0.39,24938058.6,28500
SH603398,2023-11-14,0.43,27238529.07,135500
SH603398,2023-11-15,0.49,30757746.3,193600
SH603398,2023-11-16,0.51,31533147.56,80200
SH603398,2023-11-17,0.56,33811709.08,142689
SH603398,2023-11-20,0.63,39054907.84,239100
SH603398,2023-11-21,0.59,36235661.8,-108300
SH603398,2023-11-22,0.5,29575601.28,-332500
SH603398,2023-11-23,0.56,33554587.55,202387
SH603398,2023-11-24,0.41,24047059.02,-506700
SH603398,2023-11-27,0.39,22432981.41,-64000
SH603398,2023-11-28,0.42,24732111.18,118200
SH603398,2023-11-29,0.42,24585723.3,1800
SH603398,2023-11-30,0.39,22686183.25,-117800
SH603398,2023-12-01,0.37,21478483.35,-64400
SH603398,2023-12-04,0.33,19196223.48,-128000
SH603398,2023-12-05,0.32,18038265.63,-46460
SH603398,2023-12-06,0.34,19148043.02,67900
SH603398,2023-12-07,0.32,18523248.24,-62177
SH603398,2023-12-08,0.32,20220702.54,-8400
SH603398,2023-12-11,0.3,19802980.0,-59512
SH603398,2023-12-12,0.36,22890391.5,183300
SH603398,2023-12-13,0.3,19806657.0,-175200
SH603398,2023-12-14,0.23,15067273.0,-267600
SH603398,2023-12-15,0.2,12975343.0,-95500
SH603398,2023-12-18,0.23,14700592.5,111600
SH603398,2023-12-19,0.24,15139743.75,19625
SH603398,2023-12-20,0.23,14067106.05,-24360
SH603398,2023-12-21,0.28,17230127.35,157900
SH603398,2023-12-22,0.26,16056463.05,-64600
SH603398,2023-12-27,0.27,15784921.8,34400
SH603398,2023-12-28,0.32,20171020.8,192700
SH603398,2023-12-29,0.33,20654080.65,27600
SH603398,2024-01-02,0.26,16324704.9,-249300
SH603398,2024-01-03,0.15,9734316.55,-379154
SH603398,2024-01-04,0.14,8866726.67,-44700
SH603398,2024-01-05,0.14,9061111.53,31000
SH603398,2024-01-08,0.1,6487455.06,-139500
SH603398,2024-01-09,0.13,8294151.09,97300
SH603398,2024-01-10,0.09,5882057.04,-153300
SH603398,2024-01-11,0.13,8639866.55,150200
SH603398,2024-01-12,0.14,9600759.98,34800
SH603398,2024-01-15,0.05,4229727.1,-300100
SH603398,2024-01-16,0.25,18263759.63,684840
SH603398,2024-01-17,0.3,20818355.88,161900
SH603398,2024-01-18,0.23,16323250.3,-243100
SH603398,2024-01-19,0.08,5896868.64,-518400
SH603398,2024-01-22,0.07,5205895.63,-20500
SH603398,2024-01-23,0.19,13539061.82,417900
SH603398,2024-01-24,0.07,5571920.5,-411300
SH603398,2024-01-25,0.09,6804200.6,58500
SH603398,2024-01-26,0.04,3286030.41,-169300
SH603398,2024-01-29,0.07,5171211.76,100700
SH603398,2024-01-30,0.09,5737711.83,60100
SH603398,2024-01-31,0.22,13045498.74,457500
SH603398,2024-02-01,0.11,6730166.75,-377500
SH603398,2024-02-02,0.07,3914596.92,-158960
SH603398,2024-02-05,0.1,5212278.8,109340
SH603398,2024-02-06,0.1,5578901.98,5900
SH603398,2024-02-07,0.06,3511562.65,-133700
SH603398,2024-02-08,0.16,9137017.54,334800
SH603398,2024-02-19,0.2,11340929.07,129400
SH603398,2024-02-20,0.17,9791731.75,-104000
SH603398,2024-02-21,0.2,12114033.8,112429
SH603398,2024-02-22,0.12,8233263.2,-266400
SH603398,2024-02-23,0.16,11009546.1,136600
SH603398,2024-02-26,0.2,13474960.1,143120
SH603398,2024-02-27,0.16,10780914.9,-149700
SH603398,2024-02-28,0.19,12094614.48,105373
SH603398,2024-02-29,0.17,11364810.63,-55320
SH603398,2024-03-01,0.19,12509448.59,57200
SH603398,2024-03-04,0.13,8833161.15,-204200
SH603398,2024-03-05,0.11,7413861.84,-62500
SH603398,2024-03-06,0.26,17962760.0,496955
SH603398,2024-03-07,0.31,21400592.4,182700
SH603398,2024-03-08,0.24,17090510.48,-224600
SH603398,2024-03-11,0.28,19509480.98,109100
SH603398,2024-03-12,0.23,16559481.4,-149600
SH603398,2024-03-13,0.18,12558618.6,-183062
SH603398,2024-03-14,0.23,15929627.22,178818
SH603398,2024-03-15,0.24,16681962.36,42240
SH603398,2024-03-18,0.24,16644211.92,-16500
SH603398,2024-03-19,0.13,9006212.92,-390940
SH603398,2024-03-20,0.14,10166004.26,67400
SH603398,2024-03-21,0.11,7833042.0,-114049
SH603398,2024-03-22,0.25,17939135.5,481885
SH603398,2024-03-25,0.18,12600343.9,-249300
SH603398,2024-03-26,0.15,11101061.8,-84300
SH603398,2024-03-27,0.1,6921338.0,-191160
SH603398,2024-03-28,0.12,8495473.2,80690
SH603398,2024-04-02,0.21,14969149.08,302854
