instrument,datetime,nb_hold_pct,nb_hold_mv,nb_hold_chg
SZ300497,2023-01-12,0.25,18191008.98,-120934
SZ300497,2023-01-13,0.33,23511200.54,442133
SZ300497,2023-01-19,0.35,25067842.02,329148
SZ300497,2023-01-20,0.33,23530002.0,-120426
SZ300497,2023-02-02,0.66,49849848.84,846087
SZ300497,2023-02-03,0.65,48741013.2,-52241
SZ300497,2023-02-08,0.66,49649023.2,185300
SZ300497,2023-02-09,0.6,44951260.2,-333700
SZ300497,2023-02-10,0.58,42368943.6,-105260
SZ300497,2023-02-13,0.53,38417281.8,-286700
SZ300497,2023-02-14,0.58,42137678.4,269140
SZ300497,2023-02-15,0.52,37374430.8,-328980
SZ300497,2023-02-16,0.52,37609786.39,42689
SZ300497,2023-02-17,0.61,43879698.45,449200
SZ300497,2023-02-23,0.56,39956987.07,-370200
SZ300497,2023-02-24,0.55,39427475.27,-31592
SZ300497,2023-03-01,0.6,42110002.66,-156392
SZ300497,2023-03-02,0.4,27151449.12,-1145313
SZ300497,2023-03-08,0.25,17063684.52,-90400
SZ300497,2023-03-09,0.27,18925061.94,143200
SZ300497,2023-03-15,0.55,41167707.8,471300
SZ300497,2023-03-16,0.47,34577864.59,-466500
SZ300497,2023-03-22,0.35,24798941.08,-83000
SZ300497,2023-03-23,0.34,24217583.62,-34900
SZ300497,2023-03-29,0.28,20129565.72,-546800
SZ300497,2023-03-30,0.24,17596010.31,-189947
SZ300497,2023-04-03,0.3,22191341.25,20864
SZ300497,2023-04-04,0.28,20057946.33,-148392
SZ300497,2023-04-12,0.21,15904093.11,-61518
SZ300497,2023-04-13,0.29,21355784.1,418245
SZ300497,2023-04-19,0.32,21955117.6,103406
SZ300497,2023-04-20,0.31,21960715.62,-31800
SZ300497,2023-04-26,0.46,32768090.88,1344671
SZ300497,2023-04-27,0.44,31443076.2,-105100
SZ300497,2023-05-04,0.42,29452189.88,79600
SZ300497,2023-05-10,0.31,20427985.12,613100
SZ300497,2023-05-11,0.27,17620926.96,-216200
SZ300497,2023-05-17,0.25,15852256.32,-214600
SZ300497,2023-05-18,0.21,13274612.96,-216200
SZ300497,2023-05-24,0.54,38108082.45,-405200
SZ300497,2023-05-25,0.39,26977395.06,-821472
SZ300497,2023-05-31,0.34,24090804.92,50200
SZ300497,2023-06-01,0.38,27735329.47,240889
SZ300497,2023-06-07,0.41,28844354.92,270200
SZ300497,2023-06-08,0.38,26847773.28,-182200
SZ300497,2023-06-09,0.56,41453306.6,975946
SZ300497,2023-06-14,0.47,33804526.5,-217300
SZ300497,2023-06-15,0.46,33616588.32,-47898
SZ300497,2023-06-21,0.35,26546167.8,-319795
SZ300497,2023-06-28,0.26,18492529.5,-33800
SZ300497,2023-06-29,0.29,20576412.5,203638
SZ300497,2023-07-05,0.33,23257941.8,-474272
SZ300497,2023-07-06,0.32,22517506.44,-52700
SZ300497,2023-07-12,0.8,59451733.08,54302
SZ300497,2023-07-13,0.83,63186975.6,178800
SZ300497,2023-07-19,0.72,55921338.88,-838156
SZ300497,2023-07-20,0.71,54345672.92,-30738
SZ300497,2023-07-26,0.74,55467979.11,106444
SZ300497,2023-07-27,0.64,48635532.72,-526300
SZ300497,2023-08-02,0.63,45790246.32,51600
SZ300497,2023-08-03,0.61,45236327.94,-121200
SZ300497,2023-08-09,0.62,45696820.46,307984
SZ300497,2023-08-10,0.6,43377659.0,-119900
SZ300497,2023-08-16,0.55,39562923.85,-38148
SZ300497,2023-08-17,0.5,35893669.5,-253840
SZ300497,2023-08-23,0.3,18376018.48,-886658
SZ300497,2023-08-24,0.27,16737336.48,-150200
SZ300497,2023-08-30,0.46,29155169.35,78097
SZ300497,2023-08-31,0.44,29194951.65,-82594
SZ300497,2023-09-06,0.29,18910888.4,164484
SZ300497,2023-09-07,0.37,22824517.82,411300
SZ300497,2023-09-13,0.36,23046832.9,-517500
SZ300497,2023-09-14,0.28,18053129.58,-438814
SZ300497,2023-09-15,0.42,26962077.2,737926
SZ300497,2023-09-20,0.39,24388031.25,218900
SZ300497,2023-09-21,0.4,24760023.75,60800
SZ300497,2023-09-27,0.71,44430457.5,1296949
SZ300497,2023-09-28,0.67,41304237.06,-258200
SZ300497,2023-10-11,0.64,40037228.88,1032000
SZ300497,2023-10-12,0.67,44060223.84,156400
SZ300497,2023-10-13,0.59,38422072.08,-428500
SZ300497,2023-10-16,0.56,36284344.4,-147100
SZ300497,2023-10-17,0.55,34548749.76,-86600
SZ300497,2023-10-18,0.39,24022333.44,-852000
SZ300497,2023-10-19,0.27,16572742.4,-652706
SZ300497,2023-10-20,0.21,12696882.24,-329914
SZ300497,2023-10-24,0.28,15796903.2,355400
SZ300497,2023-10-25,0.24,13344886.08,-208868
SZ300497,2023-10-26,0.24,13355927.4,-10900
SZ300497,2023-10-27,0.37,21240494.52,735240
SZ300497,2023-10-30,0.47,27370145.52,532600
SZ300497,2023-10-31,0.52,30795568.16,316700
SZ300497,2023-11-01,0.54,31459503.04,60000
SZ300497,2023-11-02,0.54,30881906.08,-1216
SZ300497,2023-11-03,0.51,29662744.32,-163300
SZ300497,2023-11-06,0.65,39388246.56,778300
SZ300497,2023-11-07,0.71,43965926.08,359400
SZ300497,2023-11-08,0.79,48464276.1,419479
SZ300497,2023-11-09,0.63,38593765.43,-848032
SZ300497,2023-11-10,0.64,39011709.0,28400
SZ300497,2023-11-13,0.62,37333152.87,-130860
SZ300497,2023-11-14,0.56,33755949.68,-327283
SZ300497,2023-11-15,0.59,35701245.92,174992
SZ300497,2023-11-16,0.53,31719816.0,-326348
SZ300497,2023-11-17,0.57,34480717.2,238000
SZ300497,2023-11-20,0.6,35896218.4,127300
SZ300497,2023-11-21,0.57,34476761.6,-133500
SZ300497,2023-11-22,0.53,31461980.23,-236669
SZ300497,2023-11-23,0.56,34472108.0,201677
SZ300497,2023-11-24,0.61,37105093.35,254765
SZ300497,2023-11-27,0.57,34160199.75,-210900
SZ300497,2023-11-28,0.64,38341641.57,382348
SZ300497,2023-11-29,0.61,35477360.1,-190871
SZ300497,2023-11-30,0.64,37377653.3,194000
SZ300497,2023-12-01,0.73,41733551.22,476864
SZ300497,2023-12-04,0.69,38994038.82,-228300
SZ300497,2023-12-05,0.71,39350881.38,96000
SZ300497,2023-12-06,0.7,39133439.8,-33136
SZ300497,2023-12-07,0.67,37042210.71,-166669
SZ300497,2023-12-08,0.66,36239540.26,-62100
SZ300497,2023-12-11,0.71,39359350.32,305913
SZ300497,2023-12-12,0.69,37955498.12,-102300
SZ300497,2023-12-13,0.73,40189465.8,210100
SZ300497,2023-12-14,0.7,37977832.92,-176328
SZ300497,2023-12-15,0.66,35223417.6,-214108
SZ300497,2023-12-18,0.72,37442248.04,339700
SZ300497,2023-12-19,0.78,39646342.26,295900
SZ300497,2023-12-20,0.81,39843791.46,167100
SZ300497,2023-12-21,0.7,34978101.76,-568000
SZ300497,2023-12-22,0.65,31439292.02,-306633
SZ300497,2023-12-27,0.65,31325477.37,7600
SZ300497,2023-12-28,0.57,28441813.38,-465500
SZ300497,2023-12-29,0.58,30131843.04,79941
SZ300497,2024-01-02,0.58,29591509.22,-13200
SZ300497,2024-01-03,0.58,29637660.27,11973
SZ300497,2024-01-04,0.55,28135689.01,-169700
SZ300497,2024-01-05,0.51,25670550.87,-224244
SZ300497,2024-01-08,0.48,23341601.69,-180600
SZ300497,2024-01-09,0.46,22704170.55,-78000
SZ300497,2024-01-10,0.48,23619847.87,115584
SZ300497,2024-01-11,0.5,24965419.89,71500
SZ300497,2024-01-12,0.49,24779466.81,-8400
SZ300497,2024-01-15,0.49,24019818.57,-48300
SZ300497,2024-01-16,0.35,17936878.56,-729064
SZ300497,2024-01-17,0.26,12834082.03,-510000
SZ300497,2024-01-18,0.28,13816745.88,135028
SZ300497,2024-01-19,0.26,12180595.68,-155400
SZ300497,2024-01-22,0.4,17524250.24,798845
SZ300497,2024-01-23,0.25,11083533.44,-821520
SZ300497,2024-01-24,0.25,10931746.56,-31700
SZ300497,2024-01-25,0.32,14977164.16,431200
SZ300497,2024-01-26,0.4,18177409.58,419881
SZ300497,2024-01-29,0.36,15922288.0,-242811
SZ300497,2024-01-30,0.41,17162442.44,285900
SZ300497,2024-01-31,0.46,18143039.7,254224
SZ300497,2024-02-01,0.43,16737059.5,-122200
SZ300497,2024-02-02,0.4,14988637.0,-171100
SZ300497,2024-02-05,0.68,22841378.98,1557139
SZ300497,2024-02-06,0.57,19657438.29,-628800
SZ300497,2024-02-07,0.52,18228465.96,-299338
SZ300497,2024-02-08,0.76,30423395.31,1353500
SZ300497,2024-02-19,0.54,21348786.0,-1221186
SZ300497,2024-02-20,0.58,22960276.5,217300
SZ300497,2024-02-21,0.56,23671720.8,-84545
SZ300497,2024-02-22,0.56,23640023.9,-45015
SZ300497,2024-02-23,0.6,26214184.68,248973
SZ300497,2024-02-26,0.55,24335292.96,-262500
SZ300497,2024-02-27,0.57,25998654.85,117381
SZ300497,2024-02-28,0.5,23347526.85,-393908
SZ300497,2024-02-29,0.44,21262895.7,-352100
SZ300497,2024-03-01,0.43,20505436.38,-54100
SZ300497,2024-03-04,0.4,19048858.71,-177500
SZ300497,2024-03-05,0.36,16789816.51,-216000
SZ300497,2024-03-06,0.34,15780168.94,-88289
SZ300497,2024-03-07,0.27,12369762.6,-373412
SZ300497,2024-03-08,0.31,14147907.3,205500
SZ300497,2024-03-11,0.3,14086863.8,-59200
SZ300497,2024-03-12,0.27,13101782.4,-164600
SZ300497,2024-03-13,0.3,14322679.8,152900
SZ300497,2024-03-14,0.24,11542129.2,-314600
SZ300497,2024-03-15,0.27,13087909.5,137640
