instrument,datetime,nb_hold_pct,nb_hold_mv,nb_hold_pct_chg,nb_net_buy_ratio
SH600050,2024-08-16,,,,
SH601127,2024-08-16,,,,
SH601288,2024-08-16,,,,
SH600900,2024-08-16,,,,
SH605499,2024-08-16,,,,
SH601328,2024-08-16,,,,
SZ000001,2024-08-16,,,,
SZ002456,2024-08-16,,,,
SZ002475,2024-08-16,,,,
SH601398,2024-08-16,,,,
SZ300394,2024-08-16,,,,
SH601939,2024-08-16,,,,
SZ300502,2024-08-16,,,,
SH601668,2024-08-16,,,,
SZ000400,2024-08-16,,,,
SZ000988,2024-08-16,,,,
SH601658,2024-08-16,,,,
SZ000963,2024-08-16,,,,
SZ002463,2024-08-16,,,,
SZ300760,2024-08-16,,,,
SH601916,2024-08-16,,,,
SH600418,2024-08-16,,,,
SH605117,2024-08-16,,,,
SH601988,2024-08-16,,,,
SH600489,2024-08-16,,,,
SH601628,2024-08-16,,,,
SZ300274,2024-08-16,,,,
SH600312,2024-08-16,,,,
SH600519,2024-08-16,,,,
SH600016,2024-08-16,,,,
SH688256,2024-08-16,,,,
SH601601,2024-08-16,,,,
SZ300308,2024-08-16,,,,
SH601799,2024-08-16,,,,
SH601595,2024-08-16,,,,
SZ300418,2024-08-16,,,,
SH601838,2024-08-16,,,,
SZ300059,2024-08-16,,,,
SH601818,2024-08-16,,,,
SH600036,2024-08-16,,,,
SZ300630,2024-08-16,,,,
SH600028,2024-08-16,,,,
SH600926,2024-08-16,,,,
SZ002670,2024-08-16,,,,
SZ002001,2024-08-16,,,,
SH600276,2024-08-16,,,,
SH600183,2024-08-16,,,,
SH688676,2024-08-16,,,,
SZ300671,2024-08-16,,,,
SZ002028,2024-08-16,,,,
SZ300347,2024-08-16,,,,
SH600383,2024-08-16,,,,
SH600563,2024-08-16,,,,
SH601136,2024-08-16,,,,
SZ001696,2024-08-16,,,,
SH601138,2024-08-16,,,,
SH601009,2024-08-16,,,,
SH600256,2024-08-16,,,,
SZ300779,2024-08-16,,,,
SH603728,2024-08-16,,,,
SZ300803,2024-08-16,,,,
SH601318,2024-08-16,,,,
SH600893,2024-08-16,,,,
SH600999,2024-08-16,,,,
SZ300763,2024-08-16,,,,
SZ002020,2024-08-16,,,,
SZ002792,2024-08-16,,,,
SH600600,2024-08-16,,,,
SZ300033,2024-08-16,,,,
SH601665,2024-08-16,,,,
SZ000921,2024-08-16,,,,
SZ002311,2024-08-16,,,,
SZ000739,2024-08-16,,,,
SH600160,2024-08-16,,,,
SZ002273,2024-08-16,,,,
SZ300494,2024-08-16,,,,
SZ300613,2024-08-16,,,,
SZ002129,2024-08-16,,,,
SH603986,2024-08-16,,,,
SZ300633,2024-08-16,,,,
SH600015,2024-08-16,,,,
SZ002180,2024-08-16,,,,
SH601717,2024-08-16,,,,
SH600026,2024-08-16,,,,
SH688235,2024-08-16,,,,
SH601872,2024-08-16,,,,
SH688076,2024-08-16,,,,
SH600460,2024-08-16,,,,
SH601169,2024-08-16,,,,
SH688018,2024-08-16,,,,
SZ002436,2024-08-16,,,,
SH603738,2024-08-16,,,,
SH600079,2024-08-16,,,,
SZ300042,2024-08-16,,,,
SZ300735,2024-08-16,,,,
SH601166,2024-08-16,,,,
SH601825,2024-08-16,,,,
SZ300207,2024-08-16,,,,
SH600000,2024-08-16,,,,
SH603766,2024-08-16,,,,
SZ002847,2024-08-16,,,,
SZ300708,2024-08-16,,,,
SH603283,2024-08-16,,,,
SZ300002,2024-08-16,,,,
SZ300181,2024-08-16,,,,
SZ300580,2024-08-16,,,,
SZ301089,2024-08-16,,,,
SH603233,2024-08-16,,,,
SZ002036,2024-08-16,,,,
SH601698,2024-08-16,,,,
SZ300657,2024-08-16,,,,
SZ002600,2024-08-16,,,,
SZ000819,2024-08-16,,,,
SH600420,2024-08-16,,,,
SZ300790,2024-08-16,,,,
SH688318,2024-08-16,,,,
SZ002085,2024-08-16,,,,
SH688522,2024-08-16,,,,
SH688266,2024-08-16,,,,
SH600350,2024-08-16,,,,
SH605296,2024-08-16,,,,
SZ300602,2024-08-16,,,,
SZ000960,2024-08-16,,,,
SH603018,2024-08-16,,,,
SZ300302,2024-08-16,,,,
SZ002236,2024-08-16,,,,
SZ000099,2024-08-16,,,,
SH603220,2024-08-16,,,,
SH600188,2024-08-16,,,,
SH603099,2024-08-16,,,,
SH600176,2024-08-16,,,,
SH603337,2024-08-16,,,,
SH688352,2024-08-16,,,,
SZ301421,2024-08-16,,,,
SH600621,2024-08-16,,,,
SZ001339,2024-08-16,,,,
SH688617,2024-08-16,,,,
SZ002352,2024-08-16,,,,
SH601919,2024-08-16,,,,
SH603398,2024-08-16,,,,
SH688629,2024-08-16,,,,
SZ002840,2024-08-16,,,,
SZ000403,2024-08-16,,,,
SH603392,2024-08-16,,,,
SH600664,2024-08-16,,,,
SH688032,2024-08-16,,,,
SZ002845,2024-08-16,,,,
SH688668,2024-08-16,,,,
SZ002241,2024-08-16,,,,
SZ002055,2024-08-16,,,,
SZ002317,2024-08-16,,,,
SZ300158,2024-08-16,,,,
SZ002948,2024-08-16,,,,
SZ300232,2024-08-16,,,,
SH600577,2024-08-16,,,,
SH688596,2024-08-16,,,,
SZ000766,2024-08-16,,,,
SH600096,2024-08-16,,,,
SH601933,2024-08-16,,,,
SH601229,2024-08-16,,,,
SZ002920,2024-08-16,,,,
SZ300113,2024-08-16,,,,
SZ002876,2024-08-16,,,,
SZ000528,2024-08-16,,,,
SH600859,2024-08-16,,,,
SH601231,2024-08-16,,,,
SZ300115,2024-08-16,,,,
SZ000597,2024-08-16,,,,
SZ000915,2024-08-16,,,,
SH600733,2024-08-16,,,,
SH601921,2024-08-16,,,,
SZ300199,2024-08-16,,,,
SZ300408,2024-08-16,,,,
SH601319,2024-08-16,,,,
SZ000983,2024-08-16,,,,
SH688472,2024-08-16,,,,
SH600196,2024-08-16,,,,
SH600761,2024-08-16,,,,
SH600975,2024-08-16,,,,
SZ002030,2024-08-16,,,,
SZ301123,2024-08-16,,,,
SH688372,2024-08-16,,,,
SZ000768,2024-08-16,,,,
SZ301301,2024-08-16,,,,
SH601808,2024-08-16,,,,
SH603056,2024-08-16,,,,
SZ300373,2024-08-16,,,,
SH600582,2024-08-16,,,,
SH600438,2024-08-16,,,,
SZ000913,2024-08-16,,,,
SZ300766,2024-08-16,,,,
SZ300595,2024-08-16,,,,
SZ002106,2024-08-16,,,,
SZ301165,2024-08-16,,,,
SH688123,2024-08-16,,,,
SZ300294,2024-08-16,,,,
SH603027,2024-08-16,,,,
SZ002558,2024-08-16,,,,
SZ300705,2024-08-16,,,,
SH688166,2024-08-16,,,,
SZ002919,2024-08-16,,,,
SZ000538,2024-08-16,,,,
SZ300860,2024-08-16,,,,
SZ300183,2024-08-16,,,,
SZ002351,2024-08-16,,,,
SZ002017,2024-08-16,,,,
SH600095,2024-08-16,,,,
SZ300136,2024-08-16,,,,
SH601528,2024-08-16,,,,
SH603496,2024-08-16,,,,
SH601728,2024-08-16,,,,
SZ000901,2024-08-16,,,,
SZ002602,2024-08-16,,,,
SZ002681,2024-08-16,,,,
SZ002773,2024-08-16,,,,
SH600696,2024-08-16,,,,
SZ301550,2024-08-16,,,,
SZ002947,2024-08-16,,,,
SZ300677,2024-08-16,,,,
SZ300031,2024-08-16,,,,
SZ000823,2024-08-16,,,,
SH601156,2024-08-16,,,,
SH688408,2024-08-16,,,,
SZ002387,2024-08-16,,,,
SZ300548,2024-08-16,,,,
SH688981,2024-08-16,,,,
SH601952,2024-08-16,,,,
SZ300337,2024-08-16,,,,
SZ300233,2024-08-16,,,,
SZ300303,2024-08-16,,,,
SZ002611,2024-08-16,,,,
SZ002957,2024-08-16,,,,
SZ300331,2024-08-16,,,,
SZ002819,2024-08-16,,,,
SH601186,2024-08-16,,,,
SH688381,2024-08-16,,,,
SZ300114,2024-08-16,,,,
SZ002291,2024-08-16,,,,
SZ300558,2024-08-16,,,,
SH600326,2024-08-16,,,,
SZ002975,2024-08-16,,,,
SZ300007,2024-08-16,,,,
SZ300026,2024-08-16,,,,
SH600812,2024-08-16,,,,
SZ002285,2024-08-16,,,,
SZ300533,2024-08-16,,,,
SH603936,2024-08-16,,,,
SZ300077,2024-08-16,,,,
SZ002807,2024-08-16,,,,
SZ002409,2024-08-16,,,,
SZ301211,2024-08-16,,,,
SZ300806,2024-08-16,,,,
SZ301060,2024-08-16,,,,
SZ002318,2024-08-16,,,,
SH600718,2024-08-16,,,,
SZ002402,2024-08-16,,,,
SZ300088,2024-08-16,,,,
SZ301392,2024-08-16,,,,
SZ300684,2024-08-16,,,,
SZ300398,2024-08-16,,,,
SZ000828,2024-08-16,,,,
SZ002045,2024-08-16,,,,
SZ002913,2024-08-16,,,,
SZ301293,2024-08-16,,,,
SZ002399,2024-08-16,,,,
SZ300604,2024-08-16,,,,
SH600410,2024-08-16,,,,
SZ002901,2024-08-16,,,,
SH600020,2024-08-16,,,,
SH688083,2024-08-16,,,,
SZ002281,2024-08-16,,,,
SZ300827,2024-08-16,,,,
SH601336,2024-08-16,,,,
SH600339,2024-08-16,,,,
SZ300624,2024-08-16,,,,
SH601995,2024-08-16,,,,
SH600557,2024-08-16,,,,
SH601100,2024-08-16,,,,
SH600018,2024-08-16,,,,
SZ002579,2024-08-16,,,,
SZ000536,2024-08-16,,,,
SH601975,2024-08-16,,,,
SZ300814,2024-08-16,,,,
SZ300083,2024-08-16,,,,
SZ300049,2024-08-16,,,,
SZ002405,2024-08-16,,,,
SH688535,2024-08-16,,,,
SZ002605,2024-08-16,,,,
SH603355,2024-08-16,,,,
SH688095,2024-08-16,,,,
SH600062,2024-08-16,,,,
SH603327,2024-08-16,,,,
SZ300401,2024-08-16,,,,
SZ301051,2024-08-16,,,,
SZ300761,2024-08-16,,,,
SH688521,2024-08-16,,,,
SH600329,2024-08-16,,,,
SH600129,2024-08-16,,,,
SH600572,2024-08-16,,,,
SH688182,2024-08-16,,,,
SZ301348,2024-08-16,,,,
SH600820,2024-08-16,,,,
