iteration_date,strategy_id,parent_strategy_id,stage,decision,config_path,model_path,train_universe,eval_market,backtest_start,backtest_end,topk,n_drop,hold_thresh,daily_transform,industry_neutralize,size_neutralize,stock_vs_sector_filter,svs_window,svs_keep_top_pct,max_position_pct,concentration_hard_limit,annual_return,sharpe,max_drawdown,rank_ic,result_source,notes,next_ablation
2026-04-28,csi1000_no_sector_same_model,-,ablation,keep,optimization_results/research_cycles/train_csi1000.yaml,-,csi1000,csi300,2024-01-01,2026-04-28,15,3,5,rank,false,false,false,,, , ,0.3823,1.7253,-0.1525,0.0540,optimization_results/research_cycles/sector_csi1000_comparison_20260428.md,Alpha158-only csi1000 retrain beat the full sector-factor variant on the same-model window and became the preferred training line.,Compare this line against sector-relative-only and post-filter overlays
2026-04-28,csi1000_sector_full_same_model,-,ablation,do_not_promote,optimization_results/research_cycles/sector_csi1000_only.yaml,-,csi1000,csi300,2024-01-01,2026-04-28,15,3,5,rank,false,false,false,,, , ,0.0608,0.3111,-0.1746,0.0423,optimization_results/research_cycles/sector_csi1000_comparison_20260428.md,Full sector factor variant materially degraded the same-model csi1000 baseline.,Do not revisit until there is a better time-consistent sector data source or stricter sector ablation plan
2026-04-28,csi500_cross_train_best,-,cross_train,keep,optimization_results/research_cycles/train_csi500.yaml,-,csi500,csi300,2024-01-01,2026-04-28,20,1,10,rank,false,false,false,,, , ,0.2368,1.0817,-0.1601,0.0330,optimization_results/research_cycles/cross_csi300_model_csi500_20260428_155602.csv,csi500-trained model underperformed csi800 and the stronger csi1000 same-model line on the csi300 evaluation universe.,Keep as reference only; not a priority branch for the next ablation cycle
2026-04-28,csi800_cross_train_best,-,cross_train,compare_next,optimization_results/research_cycles/train_csi800.yaml,-,csi800,csi300,2024-01-01,2026-04-28,15,3,8,rank,false,false,false,,, , ,0.5047,1.8226,-0.1731,0.0456,optimization_results/research_cycles/cross_csi300_model_csi800_20260428_155602.csv,Best same-model cross-train result among the train-universe sweep; materially stronger than csi500 and stronger than csi1000 no-sector on this window.,Validate with equal position caps and walk-forward before promoting over csi1000_balanced
2026-04-28,csi1000_balanced,-,baseline,keep,config/daily_csi1000.yaml,models/lgbm_universe-csi1000_20260428_155547.pkl,csi1000,csi300,2020-01-01,2026-04-28,15,3,5,rank,false,false,false,,, , ,0.2230,1.0302,-0.2784,0.0513,config/strategy_candidates.yaml,Current conservative low-frequency baseline; better diagnostics and milder drawdown than aggressive candidates.,Compare under equal position caps versus csi800_stable_all_positive
2026-04-29,csi1000_relative_strength_overlay,csi1000_balanced,overlay,keep,config/csi1000_balanced_overlay.yaml,models/lgbm_universe-csi1000_20260428_155547.pkl,csi1000,csi300,2024-01-01,2026-04-29,5,5,5,rank,false,false,true,20,0.4,0.2,0.3,1.0233,3.6643,-0.0955,0.0593,optimization_results/research_cycles/stock_vs_sector_20d_top40pct_robustness_20260429.md,"Very strong same-model overlay, but too concentrated and weak in 2021-2022 walk-forward.",Test less concentrated topk10-15 and keep_top_pct 0.5 variants
2026-04-29,csi1000_sector_relative_feature,csi1000_no_sector_same_model,ablation,do_not_promote,optimization_results/research_cycles/sector_relative_csi1000_only.yaml,-,csi1000,csi300,2024-01-01,2026-04-29,15,3,5,rank,false,false,false,,, , ,0.2439,1.0747,-0.1858,0.0551,optimization_results/research_cycles/sector_relative_csi1000_15_3_5_20260429.csv,Stock-vs-sector as a training feature improved over the weak full-sector variant but still trailed the stronger no-sector baseline and post-filter overlay route.,Prefer post-filter overlay over retraining with sector-relative-only features
2026-04-29,csi800_aggressive_return,-,candidate,keep,-,-,csi800,csi300,2020-01-01,2026-04-28,5,3,8,rank,false,false,false,,, , ,0.5902,1.7583,-0.4161,0.0382,config/strategy_candidates.yaml,"Highest robust_score candidate, but concentration risk is too high for direct practical adoption.",Rerun with hard position caps and compare loss of edge
2026-04-29,csi800_stable_all_positive,-,candidate,keep,-,-,csi800,csi300,2020-01-01,2026-04-28,15,3,5,rank,false,false,false,,, , ,0.2991,1.2256,-0.2672,0.0382,config/strategy_candidates.yaml,All seven folds positive; stability candidate worth preserving despite wide Sharpe dispersion.,Run equal-cap multi-seed comparison versus csi1000_balanced
2026-04-29,csi1000_balanced_random_buy_pressure,csi1000_balanced,stress_test,diagnostic,config/daily_csi1000.yaml,models/lgbm_universe-csi1000_20260428_155547.pkl,csi1000,csi300,2020-01-01,2026-04-28,15,3,5,rank,false,false,false,,, , ,0.2225,0.9564,-0.3010,0.0513,optimization_results/research_cycles/csi1000_15_3_5_formal_vs_random_buy_20260429.md,"Candidate pool retains some edge under random-buy pressure, but weak years show real ranking sensitivity.",Keep baseline as a ranked-selection strategy rather than treating it as a wide interchangeable basket
